		2023-03-21	2023-04-14	2023-04-17	2023-05-17	2023-06-05	2023-06-21	2023-07-20	2023-08-09	2023-09-15	2023-10-20	2023-11-17	2023-11-27	2023-12-14	2024-01-19	2024-02-16	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
prader willi australia		-	-	-	-	-	-	-	-	-	-	-	6	7	7	7	7	5	5	8	7	7	4	5	5
prader-willi syndrome self care		-	-	-	-	-	-	-	-	-	-	-	9	10	11	10	10	10	9	11	11	13	12	13	13
pws syndrome symptoms		-	-	-	-	-	-	-	-	-	-	-	15	22	19	20	17	14	11	21	-	16	21	21	23
prader willi symptoms		-	-	-	-	-	-	-	-	-	-	-	14	16	14	15	16	12	12	14	14	13	12	14	15
pws symptoms		-	-	-	-	-	-	-	-	-	-	-	11	15	14	14	14	14	10	16	15	16	16	17	18
pws behaviour support sydney		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prader willi syndrome life expectancy		-	-	-	-	-	-	-	-	-	-	-	13	14	9	9	9	8	7	8	6	5	7	6	9
symptoms of prader willi syndrome		-	-	-	-	-	-	-	-	-	-	-	14	16	18	19	16	12	12	15	14	13	14	19	18
prader willi accommodation sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prader willi ndis sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prader willi services		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1
prader willi supports sydney		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prader willi syndrome		24	19	21	22	28	29	35	38	25	23	26	24	28	25	26	23	23	20	26	33	49	30	31	33
pws accommodation		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pws accommodation sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
PWS NDIS supports		2	2	2	2	2	2	1	1	2	1	1	2	2	1	3	3	3	3	4	1	1	1	1	3
pws psychologist sydney		3	2	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pws services sydney		6	8	7	4	4	5	6	3	3	4	4	4	4	4	4	5	6	3	5	4	3	2	3	3
pws support coordination sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pws support worker sydney		7	10	12	2	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
PWS supported accommodation central coast		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
pws supports		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
pws supports sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
