		2023-09-04	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-27	2024-03-15	2024-04-19	2024-05-16	2024-06-14	2024-07-18	2024-08-16	2024-09-20	2024-10-02	2024-11-14
radiology ashburton		-	5	4	4	4	4	4	3	4	3	3	2	2	1	5	1
radiology bentleigh		-	7	6	8	8	8	8	6	7	7	4	4	4	4	5	3
radiology brighton		-	9	7	9	10	11	11	8	8	9	6	8	9	9	5	13
radiology carnegie		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
radiology glen iris		-	6	6	6	3	4	3	2	2	2	1	1	2	1	1	1
radiology malvern		-	10	10	13	12	13	13	13	10	9	6	6	8	8	8	15
radiology murrumbeena		-	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1
radiology oakleigh		-	3	3	4	3	6	3	3	2	2	2	2	2	1	2	1
radiology prahran		-	6	9	8	7	8	4	4	4	4	4	4	4	4	4	3
radiology st kilda		-	8	9	9	8	8	8	5	5	5	4	2	4	2	5	2
ultrasound ashburton		-	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
ultrasound bentleigh		-	3	3	5	2	2	2	2	2	2	1	1	2	2	2	2
ultrasound brighton		-	10	8	7	6	6	6	3	3	4	2	2	2	2	2	4
ultrasound carnegie		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ultrasound glen iris		-	3	4	5	5	5	4	4	4	4	3	3	4	4	3	3
ultrasound malvern		-	10	12	13	11	10	9	7	4	6	6	8	10	11	3	12
ultrasound murrumbeena		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ultrasound oakleigh		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ultrasound prahran		-	10	8	6	6	6	6	6	5	5	4	4	4	4	4	5
ultrasound st kilda		-	4	3	3	3	3	3	2	2	3	3	1	2	1	1	1
xray ashburton		-	3	2	3	2	2	3	2	1	2	1	1	1	1	1	1
xray bentleigh		-	7	5	5	5	4	4	4	3	3	1	2	2	2	2	2
xray brighton		-	36	8	8	10	11	7	5	5	6	4	4	5	4	6	11
xray carnegie		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
xray glen iris		-	3	4	4	4	4	2	1	1	1	1	2	1	1	1	1
xray malvern		-	6	6	6	6	6	6	6	5	6	3	3	6	6	6	7
xray murrumbeena		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
xray oakleigh		-	1	1	3	2	3	2	2	2	2	2	2	1	1	1	1
xray prahran		-	4	4	4	4	3	3	3	3	3	2	2	3	3	2	2
xray st kilda		-	5	5	5	6	5	3	2	4	2	2	2	2	1	1	1
