		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-31	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
optometrist thornbury		3	3	3	3	4	5	4	5	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	4
optometrist thomastown		4	7	6	6	6	6	8	7	6	6	6	6	6	6	6	6	6	5	3	4	6	6	3	4	4	4	3	2	2	2	2	3	3	3	3	4	3	2
optometrist reservoir		8	8	6	6	7	7	5	6	8	6	7	5	6	5	7	6	5	6	6	6	7	8	8	8	9	7	6	6	7	6	6	8	8	7	8	8	8	11
optometrist preston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
optometrist heidelberg		8	8	9	8	7	8	7	8	9	9	9	9	9	8	8	8	8	8	7	8	8	5	7	9	8	5	6	6	7	7	5	6	9	8	6	6	4	6
optometrist coburg		14	12	12	13	11	11	11	11	11	12	10	10	10	7	9	10	9	7	9	7	7	7	7	9	7	6	7	7	6	6	8	9	15	11	12	11	9	11
optometrist brunswick		15	12	12	12	11	12	10	13	11	14	10	10	10	10	12	13	12	11	11	11	11	11	11	11	8	7	7	8	7	9	9	8	10	8	8	10	9	8
eye test thornbury		2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3
eye test thomastown		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1
eye test reservoir		1	1	1	1	1	2	1	3	3	3	3	3	3	3	4	4	4	4	3	5	4	4	6	5	6	4	5	4	4	5	5	6	5	4	6	5	6	7
eye test preston		3	2	2	2	1	1	2	1	1	16	1	1	3	2	3	3	1	2	2	3	3	3	3	3	3	2	1	2	1	2	2	2	2	2	1	2	2	2
eye test heidelberg		6	7	8	9	6	5	3	4	4	7	7	7	7	7	6	5	5	5	6	6	6	6	5	5	5	4	5	5	4	5	3	4	4	4	4	4	4	4
eye test coburg		6	16	6	6	6	6	6	5	6	6	5	6	6	5	8	7	1	7	8	7	7	5	5	7	6	6	6	6	6	6	6	6	6	5	6	6	6	6
