		2023-02-03	2023-03-16	2023-04-14	2023-05-09	2023-06-09	2023-06-15	2023-06-19	2023-06-22	2023-06-30	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-08	2024-02-13	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-16	2024-08-16	2024-09-09	2024-10-21	2024-11-14
Blocked Drains Dandenong		-	-	-	-	-	-	-	-	-	3	33	34	24	33	38	11	9	9	8	8	7	7	9	9	7	10	20
Blocked Drains Burwood		-	-	-	5	4	5	5	5	5	3	3	-	-	2	2	4	2	4	2	2	1	2	2	10	4	2	5
Blocked Drains Mount Waverley		-	-	-	-	-	-	-	-	-	-	-	-	60	60	-	9	9	9	9	8	5	5	4	7	7	4	20
Blocked Drains Glen Waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	8	7	6	6	6	4	4	7	22	23
Blocked Drains Rowville		74	66	48	43	5	-	-	-	-	-	-	-	54	53	77	7	7	7	7	4	1	2	1	2	2	5	1
Blocked Drains Ferntree Gully		-	-	-	-	-	-	-	-	-	-	-	-	67	67	88	5	5	5	4	5	3	4	4	4	4	5	14
Blocked Drains Bayswater		-	85	-	-	-	9	10	3	5	85	-	-	-	5	5	5	5	5	4	3	4	5	4	5	5	48	7
Blocked Drains Clayton		-	-	-	-	-	-	-	-	-	-	-	-	72	6	9	9	6	7	10	8	8	8	8	9	9	29	19
Blocked Drains Oakleigh		-	63	-	-	-	-	-	-	-	-	-	-	69	69	65	10	10	10	17	14	12	10	9	11	18	17	26
Blocked Drains Boronia		-	65	61	38	-	77	-	85	-	-	-	-	54	59	86	1	5	4	6	4	3	4	3	3	3	9	11
Blocked Drains Keysborough		32	32	28	27	-	-	-	-	-	-	-	-	45	-	48	5	5	5	5	6	6	4	3	3	5	4	12
Blocked Drains Wantirna		-	63	-	-	5	-	-	5	2	-	-	-	52	-	49	5	6	7	5	5	4	5	3	5	5	10	24
Blocked Drains Noble Park		45	48	-	45	-	-	-	-	-	-	-	-	-	47	-	5	6	6	6	4	2	4	3	3	6	4	17
Blocked Drains Mulgrave		81	61	63	57	-	85	79	-	-	-	49	46	33	20	24	7	7	6	8	4	3	2	3	3	3	3	4
