		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-05-29	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
cabinet door refinishing		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
refinishing kitchen cabinets		2	2	2	2	2	2	2	2	2	3	5	4	3	3	2	4	5	6	6	2	3	3	3	2	2	2	2	2	2	2	2	5	4	3	3	1	3	21
repainting kitchen cabinets		7	11	11	11	15	34	34	44	10	21	27	29	40	65	-	-	51	54	89	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cabinet replacement doors		1	3	2	1	1	1	1	1	2	36	1	1	1	2	1	1	4	2	2	2	3	2	2	3	3	5	5	7	7	6	8	6	7	6	8	7	5	5
coloured glass splashbacks		15	12	14	23	11	14	13	15	22	17	22	26	27	35	37	37	38	36	35	33	31	25	34	44	42	42	48	46	46	47	52	40	49	59	49	72	38	42
glass kitchen splashbacks		48	39	17	33	28	25	29	18	27	25	31	27	49	61	64	62	65	69	63	73	55	46	56	65	76	87	89	-	-	-	-	-	-	-	-	-	87	-
kitchen cabinet painting		2	7	2	3	4	7	3	-	3	3	5	1	1	2	7	9	13	11	11	12	12	9	22	10	35	15	13	11	14	12	9	23	15	36	21	49	44	32
kitchen cabinet painting ideas		9	10	11	13	13	35	17	38	35	29	32	34	29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6
kitchen cupboard door		6	6	5	5	7	6	4	5	4	4	5	5	4	5	3	5	5	6	6	5	8	10	10	12	9	6	9	8	11	9	12	8	6	7	8	9	7	7
kitchen cupboard doors		4	9	3	6	4	3	5	4	4	5	3	3	3	6	2	6	6	6	6	5	8	8	6	7	8	8	6	7	10	6	11	11	6	7	9	8	30	9
kitchen facelift		6	8	7	9	8	7	5	6	7	7	7	7	6	8	5	8	8	7	8	8	4	4	6	8	6	6	6	8	6	6	6	6	6	9	8	8	9	7
kitchen makeover		3	4	7	6	6	26	5	5	2	3	3	3	2	5	3	5	6	4	9	6	7	4	5	5	9	7	4	4	5	1	3	5	6	6	7	8	-	5
Kitchen refacing		1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	3	3	3	4	3	4	3	3	4	4	4	6
Kitchen refinishing		1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	4
kitchen resurfacing		2	2	3	4	3	2	1	4	4	3	3	3	3	2	2	2	3	3	5	5	2	2	5	5	9	5	9	10	8	10	7	6	10	10	15	16	25	11
replacement kitchen cabinet doors		1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	2	3	3	5	4	5	6	5	5	5	8	6	9	7	5
spray painting kitchen cabinets		5	9	16	5	5	18	8	6	3	5	4	6	8	12	8	10	10	9	20	10	32	12	36	39	61	53	58	48	15	-	81	65	81	-	-	-	-	-
two pack cabinets		5	4	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	5	4	6	4	3	5	6
two pack kitchen cabinets		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	3	2	3	3	6	3
two pack kitchen cupboards		1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	8	1
