		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-25	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-11	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
aluminium cladding Melbourne		2	2	3	3	2	2	2	2	2	2	2	2	2	2	3	3	1	2	1	2	2	3	3	3	3	2	3	2	3	1	1	1	1	1	2	2	2	3
cladding services Melbourne		8	6	7	9	6	5	6	10	8	8	7	11	10	10	12	11	14	10	8	10	7	10	31	33	9	17	9	1	6	6	6	4	1	1	1	3	2	2
commercial cladding Melbourne		1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5
metal cladding Melbourne		7	7	6	6	6	6	6	6	6	6	7	7	7	9	8	6	6	10	9	9	12	10	11	7	9	9	10	11	7	9	5	5	8	11	8	8	8	9
zinc wall cladding Melbourne		1	1	1	1	1	2	4	1	2	2	3	3	6	6	6	4	4	3	3	4	4	5	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1
aluminium cladding		8	9	10	10	10	18	7	8	12	10	10	12	13	13	13	14	12	14	13	15	16	22	18	12	15	7	4	5	7	6	3	4	3	16	24	45	32	33
architectural cladding		13	14	9	9	7	11	14	18	17	23	8	7	5	5	19	24	10	9	12	10	13	19	18	17	13	9	20	31	28	18	16	12	12	14	14	15	14	9
architectural cladding melbourne		5	3	3	3	3	3	3	3	3	3	3	3	3	3	5	5	3	3	3	3	3	4	7	5	4	6	8	8	7	5	6	6	6	5	5	5	8	9
cladding services		3	4	2	3	2	1	1	3	5	2	5	6	5	3	11	3	2	3	5	3	6	5	63	3	3	3	3	3	3	3	2	3	2	3	2	5	5	1
commercial cladding		3	3	3	3	3	2	3	3	3	2	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	2	18	8
commercial cladding services		1	1	1	1	1	1	1	1	1	1	1	4	5	3	1	2	2	2	1	4	4	6	3	6	3	2	2	2	2	2	2	2	1	1	1	1	1	1
commercial cladding systems		2	2	3	3	3	3	2	1	2	2	2	2	2	3	1	3	3	3	3	3	3	4	4	4	3	3	4	4	5	5	5	5	3	5	5	3	5	5
metal cladding australia		15	21	25	22	17	18	23	19	26	59	59	53	34	43	29	30	-	30	74	48	75	-	-	46	67	64	56	50	84	98	93	-	83	73	82	90	-	83
metal cladding systems		36	12	12	19	41	13	26	25	18	12	19	41	53	46	46	47	48	55	43	39	18	77	56	47	68	54	62	56	50	61	90	71	52	39	40	-	60	35
standing seam cladding		20	17	15	15	16	19	13	10	9	13	13	15	16	16	18	20	18	17	16	15	15	18	17	16	22	20	29	26	21	23	18	33	49	36	30	35	51	57
standing seam cladding melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	5	5	5
standing seam zinc cladding		7	7	5	5	6	4	3	5	3	5	5	5	5	6	4	4	5	5	6	6	6	9	8	8	11	12	13	13	9	10	10	11	11	13	12	15	22	24
zinc cladding		9	8	10	8	8	10	10	9	8	9	13	12	-	16	8	12	17	10	16	11	21	13	10	4	6	5	6	8	8	6	6	6	6	10	12	20	9	8
zinc cladding melbourne		3	3	3	3	3	4	4	3	3	3	3	4	6	6	4	4	5	4	3	6	7	7	4	2	3	3	3	3	3	3	2	3	2	2	3	2	1	2
zinc wall cladding		2	7	5	4	4	5	7	5	5	5	5	5	5	6	5	9	11	6	8	9	10	10	6	5	5	4	5	6	6	5	4	6	6	9	11	14	10	11
aluminium standing seam Melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
aluminium wall cladding Melbourne		3	3	2	3	2	2	2	2	2	2	2	2	3	2	2	3	2	3	2	2	3	3	3	3	3	3	3	3	2	1	1	1	1	1	2	2	2	3
