		2022-07-04	2022-08-17	2022-09-06	2022-09-09	2022-09-30	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-09	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-09-19	2023-10-20	2023-11-17	2023-11-24	2023-12-14	2024-01-19	2024-02-15	2024-03-05	2024-04-09	2024-05-16	2024-05-28	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
buyers advocate melbourne		66	-	45	45	42	44	34	54	57	65	64	-	77	51	57	46	47	44	36	44	43	58	35	37	-	-	18	18	19	25	26	36	37	62
property investment advisors melbourne		-	18	20	17	13	15	12	-	13	19	17	15	20	15	14	16	14	11	15	13	14	14	11	14	17	8	5	3	2	2	2	2	3	2
property development consultants melbourne		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	1	3	4	4	3	4	1	3	2	1	2	1	1	1	1	11
buyers agent melbourne		-	50	48	56	60	57	55	67	58	63	71	-	87	53	50	57	58	55	51	53	54	63	73	75	81	81	63	39	51	58	46	39	53	55
property investment consultants melbourne		84	15	8	8	6	6	4	52	5	1	3	10	11	7	8	9	8	8	6	8	7	8	6	7	7	5	2	1	1	1	1	1	1	1
australian property development		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
australian property investment		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
australian residential property development		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
construction feasibility melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
council planning permits melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	66
council planning permits services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	91
development feasibility consultant melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	4	5	4	3	1
development feasibility study melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	62	-	-	76	3	1
