		2024-03-26	2024-04-19	2024-05-16	2024-06-13	2024-07-17	2024-08-16	2024-09-20	2024-10-18	2024-11-14
backlog radiology reporting		-	-	-	7	6	4	4	4	5
clinical reporting services		-	-	-	6	1	1	1	1	2
off site xray reporting		-	-	1	1	1	1	1	1	1
off site ct scan reporting		-	-	2	1	1	1	1	1	1
off site ultrasound reporting		-	-	1	1	1	1	1	1	1
off site mri reporting		-	-	1	1	1	1	1	1	1
off site medical reporting		-	-	-	1	1	1	1	1	1
radiology reporting services		-	7	6	4	5	4	5	3	4
remote radiology reporting		-	-	54	5	3	4	3	3	4
remote radiology reporting adelaide		-	-	-	1	1	1	1	1	1
remote radiology reporting brisbane		-	-	-	2	2	1	1	1	1
remote radiology reporting melbourne		-	-	-	3	3	2	2	1	1
remote radiology reporting perth		-	-	-	1	1	1	1	1	1
remote radiology reporting sydney		-	-	9	3	2	2	4	2	3
teleradiology reporting		-	10	7	5	3	4	4	3	5
teleradiology reporting adelaide		-	-	-	1	1	1	1	1	1
teleradiology reporting brisbane		-	-	-	1	1	1	1	1	1
teleradiology reporting melbourne		-	-	-	1	1	1	1	1	1
teleradiology reporting perth		-	-	-	1	1	1	1	1	1
teleradiology reporting sydney		-	68	6	1	1	1	1	1	1
