		2021-11-18	2021-12-14	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-16	2022-07-19	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-07	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
alarm systems ballarat		9	12	12	11	11	8	8	7	10	8	9	9	8	7	8	9	9	10	10	10	9	10	11	10	30	10	12	14	12	9	8	7	9	10	9	10	14
alarm systems bayswater		17	16	10	17	6	14	5	14	4	4	7	5	6	7	8	8	4	7	4	5	5	12	8	12	14	20	18	15	6	3	3	2	2	2	6	23	4
alarm systems brighton		15	20	21	6	39	-	5	4	4	6	6	4	5	4	5	6	7	7	11	9	9	12	10	12	8	10	3	4	3	2	2	1	1	2	3	4	3
alarm systems doncaster		6	6	7	7	6	7	6	4	6	6	5	4	2	2	6	6	4	5	7	3	3	3	8	6	27	5	5	10	1	1	1	1	1	1	1	2	3
alarm systems essendon		10	10	8	8	6	6	4	3	2	2	2	2	2	3	4	2	2	2	2	4	1	2	3	3	23	2	2	2	2	2	1	1	1	1	1	2	2
alarm systems footscray		9	14	9	10	4	4	6	6	3	4	5	3	3	4	6	6	5	6	3	4	5	6	11	10	8	9	8	8	8	4	2	1	3	2	2	3	2
alarm systems frankston		16	12	18	17	18	20	14	16	17	6	8	6	8	8	7	8	9	9	2	2	2	2	3	3	4	3	4	4	4	3	3	7	6	9	9	11	14
alarm systems glen waverley		14	9	26	5	6	5	4	1	1	2	2	2	1	2	2	1	2	2	7	4	5	6	9	10	10	12	12	13	9	5	4	6	4	3	5	8	7
alarm systems greenvale		6	6	11	5	11	4	5	14	2	1	1	1	1	3	4	3	2	2	1	3	4	4	7	7	6	15	16	13	10	3	2	2	1	1	2	2	2
alarm systems hawthorn		12	6	11	5	5	8	7	10	6	5	6	4	7	6	4	4	5	5	3	20	25	28	6	5	5	23	14	14	9	6	4	3	4	3	3	4	8
alarm systems kew		3	4	10	7	6	14	6	12	4	4	5	4	5	-	6	6	5	5	5	6	5	4	5	6	6	7	8	8	6	4	3	3	4	4	8	3	5
alarm systems malvern		6	5	4	5	4	4	6	9	3	3	3	3	4	4	6	6	6	5	5	5	5	9	5	4	4	4	4	5	1	1	1	1	1	1	1	4	5
alarm systems mitcham		7	8	8	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	4	3	2	19	3	2	2	2	2	2	1	1	1	1	11	2
alarm systems newport		4	-	6	7	6	6	5	4	3	3	4	2	2	3	5	2	2	2	4	5	6	6	7	7	-	6	4	3	2	2	2	1	1	3	3	2	3
alarm systems point cook		21	17	15	5	9	5	6	12	6	6	6	4	4	3	6	6	5	6	6	8	5	5	9	5	18	4	5	5	4	2	3	2	2	2	2	3	4
alarm systems port melbourne		12	14	9	15	8	4	3	3	3	3	9	2	2	3	5	4	6	5	11	13	4	5	4	6	20	7	8	6	4	4	4	3	3	4	4	7	9
