		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
4x4 wreckers dandenong		1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car removal dandenong		9	6	8	9	10	10	11	9	11	9	9	-	16	12	12	13	6	6	6	6	12	33	21	21	39	30	30	28	23	17	25	40	52	36	11	10	11
car removals melbourne		34	41	48	54	54	33	28	21	54	40	39	-	76	37	31	24	21	19	21	19	61	38	32	66	97	63	79	74	65	-	74	71	78	56	78	53	-
car wreckers dandenong		6	4	2	2	2	2	2	2	4	3	4	45	4	3	4	3	3	3	3	3	5	4	5	5	6	6	5	5	3	3	4	4	6	4	5	4	4
cash for cars melbourne		36	48	22	25	29	37	33	21	60	58	65	-	-	62	51	59	44	38	33	33	65	58	71	52	89	-	-	-	-	-	-	-	-	-	-	-	-
dandenong spare parts		8	12	12	8	7	12	10	14	16	17	9	-	84	10	12	15	18	17	11	12	16	24	17	21	31	26	26	24	17	11	19	13	17	21	23	21	26
ford wreckers dandenong		6	4	4	4	5	3	3	4	4	4	3	4	4	5	4	4	5	5	5	5	4	4	4	5	5	6	5	6	6	3	7	4	4	3	4	3	4
holden parts melbourne		2	2	2	3	5	6	7	7	7	7	5	-	-	6	8	8	9	11	11	10	11	9	11	14	15	20	12	11	10	9	10	9	12	8	17	17	13
holden wreckers dandenong		5	6	5	5	5	5	5	5	5	4	4	40	11	6	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3
honda parts melbourne		4	4	5	4	3	3	4	5	7	7	5	-	88	6	6	6	6	6	6	6	5	7	5	8	10	6	6	7	5	6	7	8	9	8	7	7	7
mazda parts melbourne		2	3	5	2	4	3	3	4	7	5	7	-	7	6	7	7	7	7	7	7	8	8	8	13	14	13	14	14	11	15	16	15	14	15	14	15	15
mazda wreckers dandenong		1	1	1	1	1	1	1	1	1	1	1	60	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
melbourne auto wreckers		15	14	9	13	11	9	13	12	11	12	12	43	22	16	17	14	17	14	12	15	12	15	10	12	14	12	16	15	13	18	21	16	16	25	29	19	45
old car removal melbourne		-	-	-	-	-	-	-	30	75	-	57	-	-	75	67	50	31	37	40	31	97	82	68	-	-	-	-	-	-	-	-	-	-	-	-	-	-
second hand spare parts		1	1	1	1	1	1	4	5	2	8	10	-	-	6	8	7	9	5	11	10	10	13	11	17	5	6	2	5	2	2	2	4	3	3	2	-	5
toyota parts melbourne		3	3	4	4	3	4	3	7	7	6	5	-	7	5	7	7	7	7	7	7	8	8	9	9	10	11	13	15	11	15	17	16	15	17	19	15	16
toyota wreckers dandenong		1	1	1	1	1	1	1	1	1	1	1	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
used auto parts melbourne		5	5	4	7	6	6	12	12	12	12	10	-	-	12	13	15	16	15	15	15	20	27	31	37	40	40	44	43	26	48	29	24	25	26	18	22	21
wreckers dandenong		3	2	2	3	3	2	2	3	3	3	3	40	5	3	3	3	3	3	3	3	3	2	4	4	4	4	4	4	3	4	3	4	5	4	4	4	5
wreckers melbourne		14	14	9	14	12	13	13	14	14	14	16	16	28	17	16	17	15	15	14	15	13	12	12	13	16	18	17	17	11	11	11	10	10	12	10	12	13
