		2023-03-17	2023-04-14	2023-05-17	2023-06-15	2023-06-28	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-06	2024-06-13	2024-07-18	2024-08-16	2024-09-19	2024-10-18	2024-11-14
commercial lawyers blackwater		-	-	-	4	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial lawyers burpengary		-	-	-	10	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial lawyers carole park		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial lawyers emerald		-	-	-	17	14	4	5	2	2	2	2	2	2	1	2	1	1	1	1	3	3	2
commercial lawyers geebung		-	-	-	9	9	2	3	2	3	3	3	2	2	2	3	3	2	2	3	3	5	5
commercial lawyers gladstone		-	-	-	-	23	26	9	6	3	6	6	6	6	6	6	6	4	4	7	7	7	9
commercial lawyers heathwood		-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial lawyers ipswich		-	-	-	8	8	10	8	7	7	7	8	8	8	8	8	9	7	8	8	9	9	11
commercial lawyers mackay		-	-	-	-	39	49	12	6	5	6	6	11	8	7	5	5	7	11	17	14	7	18
commercial lawyers milton		98	-	-	34	6	-	7	42	7	6	1	2	2	3	3	2	2	3	5	7	7	7
commercial lawyers moranbah		-	-	-	3	8	3	1	2	2	1	1	1	1	2	2	1	2	2	2	2	2	3
commercial lawyers north lakes		-	-	-	39	-	9	8	5	3	3	5	4	4	4	4	4	2	3	2	3	4	5
commercial lawyers richlands		-	-	-	15	11	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial lawyers rockhampton		-	-	-	32	-	6	7	5	5	5	6	6	6	6	4	5	4	4	5	7	10	10
commercial lawyers straithpine		-	-	-	18	20	5	4	5	5	5	6	6	6	6	6	6	1	1	7	5	6	6
commercial lawyers toowoomba		-	-	-	50	37	14	16	9	11	-	13	13	13	11	11	12	6	10	12	11	11	15
commercial lawyers townsville		-	-	-	-	-	18	17	12	11	11	11	12	12	10	13	16	9	14	16	16	20	24
commercial lawyers wacol		-	-	-	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
commercial lawyers gold coast		-	-	-	-	-	30	33	26	31	32	30	38	39	-	38	40	36	39	42	45	51	47
commercial lawyers sunshine coast		-	-	-	-	-	-	21	17	17	21	22	20	20	19	13	10	9	9	10	11	17	17
contract lawyers blackwater		-	-	-	3	2	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1
contract lawyers burpengary		-	-	-	2	2	9	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contract lawyers carole park		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contract lawyers emerald		-	-	-	15	12	2	3	2	3	3	2	3	2	1	1	1	1	1	1	1	1	1
contract lawyers geebung		-	-	-	6	2	2	-	3	3	3	1	1	4	3	1	1	3	3	3	1	3	3
contract lawyers gladstone		-	-	-	18	15	15	4	2	1	2	4	3	2	1	1	1	1	3	5	5	7	7
contract lawyers heathwood		-	-	-	7	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
contract lawyers ipswich		-	-	-	6	4	7	6	5	5	4	4	4	3	3	2	2	1	1	2	2	4	4
contract lawyers mackay		-	-	-	4	22	7	3	3	3	3	3	4	4	1	1	1	1	1	8	7	11	9
contract lawyers milton		-	-	-	4	4	3	4	7	5	2	1	2	3	3	2	2	2	2	2	4	3	6
contract lawyers moranbah		-	-	-	1	1	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	2	3
contract lawyers north lakes		-	-	-	33	21	2	5	2	2	1	2	4	3	1	1	1	1	2	2	2	3	3
contract lawyers richlands		-	-	-	1	2	1	2	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1
contract lawyers rockhampton		-	-	-	22	18	5	5	4	5	4	4	4	4	4	5	4	3	4	5	4	4	11
contract lawyers straithpine		-	-	-	6	6	5	4	2	1	1	1	1	1	1	1	1	1	2	2	1	1	3
contract lawyers toowoomba		-	-	-	21	16	24	7	6	5	5	5	5	6	3	2	3	2	4	1	3	7	4
contract lawyers townsville		-	-	-	36	6	6	5	4	4	5	7	6	5	4	5	5	3	4	6	7	13	17
contract lawyers wacol		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contract lawyers gold coast		-	-	-	93	76	11	14	7	8	7	10	13	12	14	13	13	10	13	19	16	20	25
contract lawyers sunshine coast		-	-	-	82	61	12	12	11	12	10	13	14	11	9	7	6	2	4	7	6	6	14
commercial lawyers brisbane		-	-	-	95	76	-	-	93	87	85	85	84	-	-	-	-	-	98	89	-	77	99
business solicitors brisbane		-	-	-	84	32	88	93	60	69	31	37	29	36	39	68	-	75	64	59	62	75	-
business contract lawyers brisbane		-	-	-	14	12	18	22	15	5	6	6	7	4	4	3	3	5	4	4	3	5	9
regulatory lawyers brisbane		-	-	-	5	3	3	4	3	3	3	4	2	2	2	2	2	2	2	2	2	3	4
e commerce lawyers brisbane		-	-	-	31	25	4	2	2	2	3	3	3	3	3	2	2	1	1	2	2	2	1
