		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-10	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-09	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-04	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
locksmiths frankston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	4	6	5	7	6	6	5	6	7	6	7	7	8	8	8	9	10	10	11
locksmiths oakleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	35	23	39	18	17	26	22	21	20	22	20	24	26	19	22	16	15	19
locksmiths dandenong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	4	4	4	4	4	4	4	4	5	6	6	6	6	5	6	5	4	3
locksmiths coburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	38	20	16	18	26	23	31	33	34	38	33	36	26	23	24	21	26	45
locksmiths berwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	5	5	6	6	4	4	5	5	6	6	7	7	7	6	9	6	5	6	6
locksmiths cranbourne		4	5	5	6	4	5	4	5	6	6	6	6	6	6	6	7	6	6	5	5	6	7	7	6	6	6	8	7	5	8	9	6	8	8	12	10	10
locksmiths pakenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	5	5	5	4	4	5	5	6	6	5	6	6	4	4	6	6	7	8
locksmiths north melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	31	35	32	24	22	28	26	28	29	26	15	34	24	24	25	25	25	25
locksmiths cheltenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74	39	42	10	9	10	10	10	10	10	10	12	12	11	11	11	9	7	8	12
locksmiths brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	34	50	49	-	54	58	48	44	45	46	44	43	25	23	23	21	26	28
locksmiths preston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	56	33	81	26	19	29	29	48	48	46	42	53	82	17	22	20	17	22
locksmiths moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	23	22	23	22	16	20	21	16	15	16	14	15	12	13	10	9	10	10
locksmiths south melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	25	18	27	22	26	27	23	27	29	77	30	65	27	24	19	20	26	25	25	27
locksmiths tullamarine		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	-	26	22	25	23	22	41	19	21	52	57	54	60	77	74	15	30	32	29	37
locksmiths narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	8	8	11	12	8	8	9	9	9	8	7	5	7	5	5	5	6	5	8
locksmiths essendon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	35	23	-	25	16	17	17	25	22	31	26	28	24	54	41	29	28	65
locksmiths glenroy		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	27	17	17	9	15	17	18	19	17	17	31	35	32	15	14	14	12	15
locksmiths highett		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	18	34	32	38	15	11	14	15	16	26	28	29	51	20	15	16	16	23
locksmiths glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	13	12	14	15	14	9	14	13	12	13	12	14	13	12	14	16	19	17	22	21
locksmiths mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	7	7	8	9	6	7	7	8	7	7	9	9	11	12	11	38	16	12	16
locksmiths springvale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	4	5	5	7	5	5	5	5	5	4	4	5	3	3	3	3	3	4	5
locksmiths reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70	33	32	26	25	28	19	21	20	19	19	40	38	37	35	38	26	31	28	27
locksmiths moonee ponds		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	36	18	19	-	42	31	16	50	32	43	20	15	15	14	23	20	12	28
locksmiths braeside		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	7	7	7	12
locksmiths hallam		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4
locksmiths carrum downs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	28	9	15	9	10	12	11	6	6	6	5	6	6	6	8	6	6	7
locksmiths mentone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43	55	19	20	9	12	7	6	20	22	7	7	10	10	10	8	10	10	10	10	10
locksmiths noble park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	4	5	8	4	5	6	6	7	8	6	7	6	6	6	9	6	7	8
locksmiths pascoe vale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	35	14	16	18	17	18	20	21	20	19	18	18	20	19	28	25	25	33
locksmiths keysborough		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	4	4	5	5	5	5	5	5	5	6	6	5	5	5	5	5	5	5	5
locksmiths mordialloc		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	27	13	12	7	8	5	4	4	4	5	4	5	5	6	5	4	4	5	4	5
locksmiths chelsea		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	6	6	6	5	4	4	5	5	6	6	6	7	7	6	8	6	6	10
locksmiths mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	3	3	3	4	3	3	4	4	4	4	3	4	4	5	5	5	5	6
locksmiths seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	7	7	13	12	14	15	21	22	17	21	20	23	22	24	14	14	11	8	8
locksmiths maribyrnong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	18	22	21	19	18	17	16	18	18	23	18	57	53	13	15	16	18	21
locksmiths lynbrook		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4
