		2020-02-17	2020-03-19	2020-04-16	2020-05-14	2020-06-18	2020-07-16	2020-08-13	2020-09-17	2020-10-15	2020-11-19	2020-12-18	2021-01-16	2021-02-18	2021-03-17	2021-04-15	2021-05-20	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19
access control systems melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	-	52	-	-	59	-	14	25	23	-	-	22	-	-	-	-	-	-	25
alarm systems dandenong		7	7	7	7	5	4	6	8	6	4	6	7	5	7	7	6	7	6	6	7	7	10	11	6	6	11	7	7	7	9	9	7	9	8	6	6
alarm systems hallam		7	8	7	6	8	6	7	6	7	7	8	9	9	8	9	7	9	9	8	5	7	6	6	5	8	8	6	7	6	7	9	5	5	4	5	6
alarm systems melbourne		45	45	57	55	75	58	54	56	-	-	75	73	61	70	88	62	58	85	75	66	86	82	63	49	52	40	-	91	61	82	82	84	77	87	-	28
burglar alarms dandenong		4	5	5	5	3	2	3	3	1	1	5	3	2	2	3	2	2	2	4	3	3	5	4	4	5	5	4	7	3	2	3	2	3	3	4	1
burglar alarms hallam		4	5	5	3	4	5	6	6	7	7	6	5	6	4	4	5	5	5	5	5	5	5	3	4	6	5	5	4	4	4	6	4	4	4	4	3
cctv camera installation melbourne		46	48	68	72	83	75	79	78	80	57	67	75	68	71	74	55	45	79	78	71	54	61	60	37	65	49	82	76	63	72	71	75	76	82	75	34
cctv security cameras dandenong		-	-	-	-	22	18	22	21	21	-	23	-	19	-	18	-	-	24	19	18	17	-	-	9	-	-	18	15	14	18	26	15	38	28	17	18
home alarm systems dandenong		6	6	7	6	7	7	6	6	5	3	1	1	1	2	1	1	1	2	1	2	2	5	3	6	6	7	7	6	4	7	8	6	7	7	7	4
home alarm systems hallam		3	6	5	5	8	7	6	6	6	6	4	5	7	6	6	4	4	4	4	3	4	4	5	4	6	8	6	5	5	5	6	6	5	5	5	3
home alarm systems melbourne		41	36	48	52	70	47	43	47	63	43	61	79	50	64	65	38	35	65	65	55	74	87	60	40	63	47	93	85	57	77	89	82	73	79	41	24
home security systems melbourne		39	36	47	52	62	43	39	37	59	55	68	71	52	60	66	52	41	78	80	67	65	-	80	50	62	52	80	78	72	70	72	73	78	75	41	42
house alarm systems dandenong		4	3	3	6	3	3	4	4	4	2	2	4	2	3	2	3	2	2	2	2	2	6	7	6	6	6	7	7	6	9	9	6	7	7	7	2
security alarms dandenong		8	8	8	7	8	7	7	7	7	5	7	8	7	9	9	6	8	8	7	8	8	9	9	8	7	8	8	7	8	12	9	8	12	9	9	5
security alarms hallam		7	6	8	7	8	8	8	9	9	9	8	9	9	10	9	11	7	7	9	5	8	8	7	6	8	9	7	9	6	6	10	5	5	5	5	5
security camera systems melbourne		64	51	93	82	-	73	90	79	84	60	82	-	80	87	89	62	40	-	-	-	75	-	-	55	93	75	-	-	-	-	-	-	-	-	88	46
security cameras hallam		-	-	12	-	10	-	11	12	12	11	7	9	9	-	11	9	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	-	-	-	-	6
security systems dandenong		10	12	11	12	12	10	11	13	17	13	14	18	11	12	9	9	10	10	11	11	10	12	11	9	9	10	18	16	14	13	14	20	14	15	14	13
security systems hallam		7	10	8	9	10	10	9	9	10	8	6	9	12	7	8	6	9	6	8	5	14	13	9	5	8	12	8	8	9	9	18	10	9	4	4	4
security systems melbourne		35	35	58	58	78	53	45	39	82	72	73	76	60	66	76	66	54	78	74	70	89	-	79	49	46	40	75	62	62	72	86	87	-	90	84	36
