		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-03	2023-07-22	2023-08-01	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-06-19	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
building maintenance altona		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	2	2	2	1
building maintenance altona north		6	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance brunswick		1	1	2	1	1	1	1	1	1	1	2	2	4	1	1	1	1	2	3	2	2	1	1	2	1	2	3	3	3	2	2	2	2	2	2	2	2	2	1
building maintenance coburg		4	2	3	3	3	2	2	1	2	2	3	3	3	4	2	1	2	2	4	4	3	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
building maintenance collingwood		2	2	2	1	1	1	1	1	1	3	2	2	2	2	3	3	2	2	2	3	3	2	2	2	2	1	1	2	1	2	1	1	1	1	2	1	1	1	2
building maintenance docklands		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance essendon		7	1	4	6	4	5	4	4	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance footscray		3	7	2	2	6	2	3	7	6	2	2	2	2	2	2	2	2	2	1	-	-	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
building maintenance keilor park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance kensington		1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	3	2	2	2	3	2	2	2
building maintenance maribyrnong		5	5	3	25	19	14	-	18	77	-	2	2	3	2	2	1	3	3	2	-	-	3	3	1	12	12	1	1	1	1	1	1	1	1	1	1	1	1	2
building maintenance prahran		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance south yarra		3	4	10	12	11	1	1	1	1	1	2	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	4	3
