		2021-06-21	2021-07-15	2021-08-09	2021-09-08	2021-09-26	2021-10-21	2021-11-08	2021-11-24	2021-12-16	2022-01-20	2022-02-03	2022-02-14	2022-03-18	2022-04-06	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-13	2023-02-16	2023-03-14	2023-04-17	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-07	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-03-18	2024-04-19
nikon camera rental		-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	6	5	5	7	7	8	8	9	8	18	22	-	-	-	-	-	-	-	-	-	-	-
appliance rental		10	10	10	9	4	6	5	5	3	5	4	4	3	1	2	6	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rent to own appliances		9	9	-	8	6	5	5	4	4	3	3	3	3	2	3	5	3	4	2	2	2	2	4	1	1	2	2	3	1	2	2	1	1	4	1	1	1
local appliance rental		11	8	7	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
home appliance rental		7	7	6	8	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	2	2	2	1	2	1	1	1	1	1	1
mobile phone rental		10	7	9	5	4	4	4	4	3	5	3	4	4	5	3	4	4	4	2	4	2	3	3	2	2	3	3	3	2	1	1	1	1	1	1	1	1
iphone rental		13	14	95	10	6	3	4	4	4	4	4	3	4	3	92	3	3	3	2	3	5	5	3	3	3	4	3	3	2	2	2	1	1	1	1	1	1
iphone 11 rental		-	-	-	-	-	-	1	2	3	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
iphone 12 rental		-	-	-	-	-	-	8	7	6	4	4	4	4	4	2	2	3	3	2	2	2	4	3	4	3	3	2	2	1	1	1	1	1	1	1	1	1
iphone 13 rental		-	-	-	-	-	-	3	1	2	3	2	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
samsung galaxy rental		-	-	-	-	-	-	6	5	6	9	7	7	7	7	4	3	6	3	2	2	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1
samsung galaxy note rental		-	-	-	-	-	-	6	5	5	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
samsung galaxy flip rental		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	2	3	2	2	3	2	1	1	1	1	2	2
oppo phone rental		-	-	-	-	-	-	2	2	2	2	2	2	2	2	3	2	3	1	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1
tablet rental		-	-	-	-	-	-	6	6	6	6	6	5	4	6	5	5	5	6	4	4	3	3	3	2	2	2	2	2	1	1	1	1	1	2	2	2	1
ipad rental		-	-	-	-	-	-	18	21	24	19	-	-	9	3	4	4	4	4	3	5	5	5	4	4	2	2	4	3	2	2	3	1	1	1	1	1	1
rent ipad pro		-	-	-	-	-	-	19	10	9	10	9	10	7	5	5	2	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1
microsoft surface rental		-	-	-	-	-	-	-	-	-	40	5	51	3	2	5	3	3	3	2	2	2	2	2	2	2	2	1	1	9	10	12	12	7	12	17	17	25
samsung tab rental		-	-	-	-	-	-	5	9	7	9	5	9	8	5	6	3	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
