		2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-11-28	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-14	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-08-27	2024-09-20	2024-10-18	2024-11-14
Plumbers Craigieburn		25	22	23	22	25	24	23	20	18	18	12	12	12	12	12	14	19	17	15	22	15	26	21	21	20	19	26	26	17	17	12	14	14	22	23	21	15	13
Plumbers Epping		12	15	15	21	19	16	17	18	41	17	15	19	16	13	16	19	22	24	31	46	38	24	30	18	16	17	14	15	7	9	9	9	9	9	9	7	7	9
Plumbers Thomastown		9	13	13	12	12	12	14	13	16	17	14	14	14	11	13	12	15	15	15	18	14	9	12	17	13	17	14	19	10	12	11	10	12	10	13	9	10	10
Plumbers Pascoe Vale		32	27	35	33	27	35	31	24	31	26	28	26	26	27	26	22	19	22	14	31	22	32	-	31	22	21	22	27	18	19	17	15	19	19	23	16	19	19
Plumbers Glenroy		15	16	21	17	19	19	16	14	15	17	18	17	18	17	13	14	18	18	17	21	21	22	23	20	22	22	27	28	19	41	13	13	15	12	17	16	13	14
Plumbers Mill Park		17	18	27	32	23	25	26	28	23	21	26	22	21	24	21	18	24	26	20	25	20	22	23	18	19	20	19	20	19	19	16	11	11	15	15	14	15	15
Plumbers Lalor		4	5	3	4	3	3	3	3	4	6	8	8	8	8	8	8	9	9	8	11	11	8	4	5	4	4	3	3	4	4	4	5	5	4	5	2	3	1
Blocked Drains Craigieburn		3	4	6	6	6	6	4	2	7	2	4	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	2	2	4
Blocked Drains Epping		10	9	10	9	9	9	9	7	11	13	13	8	8	11	6	6	9	11	11	14	14	7	9	9	5	7	8	8	6	5	4	5	4	4	7	6	7	19
Blocked Drains Thomastown		8	8	7	7	-	6	7	5	5	7	7	5	4	4	4	4	9	10	6	8	4	8	4	4	4	4	4	5	4	4	3	2	3	4	4	4	5	8
Blocked Drains Pascoe Vale		4	5	6	3	4	3	4	3	7	4	4	6	5	5	4	4	7	10	6	12	8	8	6	5	5	5	6	5	2	1	1	1	1	1	1	1	3	2
Blocked Drains Glenroy		2	4	4	4	5	4	3	4	3	4	3	3	3	3	3	2	6	6	4	5	4	4	5	5	4	4	2	2	2	2	1	1	1	1	1	2	1	6
Blocked Drains Mill Park		6	8	7	7	7	6	6	6	8	5	7	4	4	5	4	6	8	8	5	11	6	5	4	3	3	2	3	3	3	3	2	2	3	2	3	3	3	3
Blocked Drains Lalor		25	27	17	16	17	13	15	16	16	13	13	14	17	17	17	16	17	12	11	13	13	13	11	12	10	8	7	8	1	8	1	14	14	8	13	1	90	1
Hot Water Service Craigieburn		6	6	7	7	6	6	5	8	7	6	7	6	5	6	7	7	11	11	8	12	10	10	10	8	8	9	12	11	8	7	6	5	8	8	9	10	21	15
Hot Water Service Epping		6	8	10	9	6	6	7	7	6	7	7	8	8	7	8	7	13	13	10	15	14	15	12	10	13	12	12	14	6	4	5	4	4	5	5	10	12	22
Hot Water Service Thomastown		10	9	8	7	10	9	7	6	6	5	6	5	3	3	5	5	8	9	4	8	9	14	13	9	11	10	11	10	9	8	7	8	8	8	10	9	9	11
Hot Water Service Pascoe Vale		7	8	8	7	4	4	4	4	4	5	6	4	4	4	5	5	9	9	9	12	10	8	7	7	5	6	6	6	3	3	2	3	2	4	6	3	6	5
Hot Water Service Glenroy		6	8	8	9	5	6	6	8	7	5	5	5	5	4	9	10	11	10	10	12	7	10	14	11	9	9	8	9	6	5	3	3	3	3	3	5	5	9
Hot Water Service Mill Park		8	9	7	7	6	6	6	6	6	6	9	8	8	6	6	6	9	9	9	13	10	9	7	6	6	6	6	5	5	6	5	4	5	5	5	5	6	7
Hot Water Service Lalor		14	14	11	10	27	25	10	11	14	13	12	15	16	15	15	17	24	16	13	25	16	16	19	19	14	14	11	12	9	8	11	18	13	17	18	18	16	16
Plumbers south morang		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	18	20	13	16	13	8	13	10	10	14	13	12	7	8	10	12	15	15	17	14	18	18
Plumbers bundoora		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	27	29	25	25	28	21	22	20	22	23	24	22	11	12	11	10	11	12	12	14	14	13
Plumbers reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	40	43	30	30	45	26	28	25	27	24	26	30	45	30	24	19	19	19	18	12	17	15
