		2023-04-13	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-09-27	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
dentist mortdale		-	-	-	-	8	12	11	11	9	10	10	10	9	10	11	9	9	13	9	8	10
invisalign mortdale		-	-	-	-	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2
dental implants mortdale		-	-	-	-	3	2	2	3	2	2	2	2	2	4	2	3	4	4	4	4	5
dentist bankstown		-	-	28	18	26	31	28	31	30	35	33	37	36	44	44	37	34	34	35	37	36
dentist beverly hills		-	-	7	5	6	8	8	10	9	9	7	8	9	10	10	5	5	9	7	6	4
dentist east hills		-	-	5	3	3	3	3	2	3	1	3	3	3	3	6	7	7	5	4	5	5
dentist milperra		-	-	9	7	7	8	5	4	3	4	3	4	4	4	5	3	3	3	3	5	7
dentist padstow heights		-	-	3	2	1	1	2	2	2	2	1	1	1	2	2	1	1	1	2	1	3
dentist revesby heights		43	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dentist padstow		-	-	10	11	9	16	12	12	13	18	18	16	16	15	16	16	16	14	12	11	12
dentist panania		-	-	11	7	7	7	7	7	4	5	5	7	12	7	11	6	5	5	8	5	7
dentist revesby		3	3	2	2	2	2	2	2	3	2	2	2	3	3	3	3	3	4	4	1	1
dentist riverwood		-	-	12	10	9	10	8	9	8	9	7	10	10	10	10	10	8	8	10	7	7
dentist roselands		-	-	9	8	9	11	9	11	13	13	14	14	9	11	13	8	10	13	13	13	13
dentist wattle grove		-	-	13	5	3	7	7	7	5	6	7	7	7	6	7	5	5	6	4	8	7
dentist picnic point		-	-	4	4	2	4	5	5	4	4	3	5	5	3	3	2	3	4	4	2	2
invisalign bankstown		-	-	18	15	10	12	16	17	19	16	19	20	18	19	23	19	18	20	19	17	17
invisalign beverly hills		-	-	28	23	8	12	12	37	30	16	20	18	31	49	26	28	21	26	31	35	30
invisalign east hills		-	-	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2
invisalign milperra		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
invisalign padstow heights		-	-	3	3	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2
invisalign revesby heights		-	48	1	1	2	3	1	1	3	2	2	2	1	1	1	1	1	1	1	1	1
invisalign padstow		-	-	6	4	3	4	5	6	6	6	5	5	5	5	4	7	6	7	5	5	5
invisalign panania		-	-	4	5	4	6	6	6	5	6	5	6	7	3	7	8	9	7	8	7	7
invisalign revesby		22	22	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
invisalign riverwood		-	-	5	3	2	3	2	2	1	1	1	2	2	2	2	2	3	2	2	2	2
invisalign roselands		-	-	5	3	2	3	6	5	5	6	5	5	3	5	6	5	6	6	11	7	7
invisalign wattle grove		-	-	2	2	2	2	2	2	1	1	1	2	2	3	3	2	2	2	3	1	1
invisalign picnic point		-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	3
dental implants bankstown		-	-	17	13	12	15	16	17	21	23	21	22	22	24	28	17	22	16	16	16	14
dental implants beverly hills		-	-	-	-	49	63	64	47	-	46	52	28	33	49	53	23	37	21	31	23	31
dental implants east hills		-	-	-	-	1	1	1	1	1	1	1	1	1	2	5	6	6	5	5	5	7
dental implants milperra		-	-	4	4	4	3	3	3	3	3	3	3	3	5	5	5	4	4	5	4	5
dental implants padstow heights		-	-	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3
dental implants revesby heights		-	-	1	1	1	1	1	1	1	1	1	1	1	3	3	4	3	3	3	2	1
dental implants padstow		-	-	8	7	7	8	10	9	10	9	10	10	9	11	12	11	11	12	12	11	12
dental implants panania		-	-	7	5	4	6	6	6	6	6	6	6	7	9	9	8	8	8	8	6	5
dental implants revesby		-	12	3	2	2	2	2	4	4	3	2	2	3	2	2	5	4	4	4	3	3
dental implants riverwood		-	-	5	4	2	1	1	1	1	1	1	1	1	1	1	2	6	3	3	4	3
dental implants roselands		-	-	3	3	2	4	3	3	3	3	4	5	4	6	9	7	8	9	8	8	6
dental implants wattle grove		-	-	5	2	1	2	1	2	3	4	3	4	4	3	3	3	3	2	5	5	5
dental implants picnic point		-	-	2	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5
