		2021-05-14	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-10-26	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-16
Funeral Directors Brighton		-	71	70	67	10	7	8	10	11	6	10	72	75	68	66	66	65	79	75	69	75	11	70	10	84	85
Funeral Directors Sandringham		13	11	7	4	5	5	5	5	6	6	4	4	4	4	4	4	2	2	1	1	1	1	1	1	1	1
Funeral Directors Mentone		32	34	15	8	9	8	5	7	8	5	5	6	4	5	5	4	4	4	5	3	4	4	3	5	4	4
Funeral Directors Cheltenham		-	-	19	15	11	9	8	11	14	10	11	11	12	9	10	10	8	11	11	8	7	6	6	4	4	7
Funeral Directors Moorabbin		1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	2	3	3	3	3	1
Funeral Directors Bentleigh		21	24	8	9	12	7	8	8	7	4	3	4	3	3	3	2	3	3	3	3	3	3	3	3	2	3
Funeral Directors Parkdale		30	27	3	2	2	2	2	2	2	2	3	3	2	2	1	2	2	2	2	2	2	2	2	2	1	3
Funeral Directors Hampton		-	-	5	5	4	4	4	3	5	4	3	3	3	3	3	3	1	2	2	2	1	1	1	1	1	1
Funeral Directors Mordialloc		20	29	11	27	7	7	8	8	6	6	5	5	5	3	4	4	4	5	5	5	6	5	4	4	3	4
Funeral Directors Dandenong		68	51	54	55	19	19	20	21	16	14	14	13	15	10	11	10	11	14	14	12	14	15	12	15	12	19
Cremation Services Brighton		-	-	-	-	7	-	-	-	-	10	4	2	4	2	3	2	2	2	2	3	5	6	5	5	6	6
Cremation Services Sandringham		15	14	1	1	1	2	14	2	7	7	2	2	2	1	2	3	2	2	2	2	2	2	2	2	2	2
Cremation Services Mentone		28	38	3	1	4	4	4	5	4	4	2	3	1	3	1	1	1	2	2	1	1	2	2	2	2	2
Cremation Services Cheltenham		-	-	-	6	-	16	-	15	17	61	4	4	4	5	2	2	3	4	2	2	2	4	5	3	4	10
Cremation Services Moorabbin		7	8	8	5	3	5	5	5	6	7	4	5	3	2	1	2	2	2	2	2	2	2	2	2	2	2
Cremation Services Bentleigh		24	40	4	3	5	5	5	4	8	7	2	2	3	1	1	1	1	1	1	1	1	1	2	3	2	2
Cremation Services Parkdale		21	30	3	1	1	3	4	3	6	7	2	3	4	3	4	3	3	2	2	2	2	2	2	2	2	2
Cremation Services Hampton		-	-	5	11	9	-	-	-	-	-	2	2	3	3	1	1	2	2	2	2	2	1	1	2	4	2
Cremation Services Mordialloc		21	29	5	21	2	4	5	7	5	6	2	3	3	2	3	2	2	1	2	2	3	3	2	2	2	2
Cremation Services Dandenong		-	-	62	63	13	12	13	11	12	10	9	8	7	4	3	3	3	2	2	3	4	2	2	3	5	4
Funeral Venues		16	16	10	10	13	12	11	11	3	4	9	8	5	5	12	9	13	12	13	14	14	20	19	42	28	29
Funeral Venues Melbourne		12	13	13	10	11	12	15	12	9	5	5	5	9	6	8	7	7	7	10	7	9	13	12	16	12	12
