		2023-10-30	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
luba lawn mower australia		-	17	11	7	6	8	8	6	8	6	6	7	8	7
luba perimeter wire free australia		-	-	-	2	3	5	4	3	2	1	2	2	2	4
luba robotic lawn mower australia		27	14	11	7	7	7	7	6	6	5	6	6	7	6
luba robotic mower australia		-	13	13	7	7	7	7	7	8	6	6	7	8	7
luba mower online australia		23	12	9	2	2	3	3	2	2	2	2	2	7	6
ambrogio robot mower		7	5	7	8	12	9	6	4	8	10	8	10	9	5
ambrogio robot mower australia		3	3	5	5	5	7	4	3	4	4	4	4	5	7
automatic lawn mower australia		22	32	21	15	21	11	10	7	10	13	16	19	14	13
commercial robotic mowers		6	11	7	7	6	3	4	4	5	4	4	3	3	2
residential robot mowers		-	-	6	8	8	5	5	6	6	10	8	8	11	11
robot lawn mower australia		19	26	19	16	16	6	11	10	8	23	13	17	11	10
wireless robot mower australia		-	-	7	4	3	3	4	8	13	14	11	15	17	13
4wd robot mower australia		19	27	37	7	8	6	4	3	2	4	3	5	6	7
robot mowers australia		18	15	13	30	14	9	10	7	11	18	15	22	14	9
robotic lawn mower australia		20	-	19	15	15	8	12	10	10	21	21	18	12	14
