		2023-06-01	2023-06-16	2023-07-20	2023-08-17	2023-09-15	2023-10-16	2023-10-18	2023-11-10	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-09-26	2024-10-07	2024-10-23	2024-11-14
flinders ranges tour		19	18	18	20	17	23	26	25	-	21	17	16	18	19	38	38	32	41	40	42	48	48
broome to darwin tour		31	25	21	22	26	25	26	21	20	25	26	-	28	-	29	33	34	36	36	30	40	43
western australia wildflowers small group tour		8	7	4	1	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	3
japan cherry blossom tour		8	10	6	9	7	12	15	13	11	14	11	9	10	13	10	33	34	28	29	35	37	35
norfolk island tour		26	43	23	21	30	28	29	32	29	28	30	13	21	-	35	29	32	40	55	46	47	52
northern india tour		16	16	39	8	-	97	88	17	19	29	-	17	23	11	9	26	27	36	16	10	11	12
garden tours		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
garden tours japan		2	3	1	1	3	3	3	3	5	6	6	1	1	1	1	1	5	4	3	3	4	4
garden tours melbourne		-	3	7	1	6	2	2	3	6	8	7	4	4	5	3	2	3	3	4	3	2	2
garden tours victoria		1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
japan autumn tour		10	11	10	11	11	13	11	11	19	17	12	10	8	12	8	8	7	6	5	7	5	5
garden tours england		2	3	1	2	4	7	5	8	6	6	10	5	5	5	7	4	6	3	5	4	5	4
garden tours europe		4	4	4	5	6	6	6	7	7	7	7	2	4	3	2	2	2	2	1	3	7	9
garden tours france		6	6	1	1	3	4	1	2	3	5	5	2	2	2	3	6	6	11	9	9	14	11
garden tours italy		-	6	4	4	7	3	3	2	3	4	4	3	2	5	5	7	4	2	3	2	2	5
kangaroo island small group tour		-	-	-	54	-	54	46	56	77	73	75	56	64	53	35	40	45	44	45	46	58	40
south australia small group tour		-	-	-	17	50	25	24	23	32	41	42	35	34	38	22	20	21	23	22	23	23	25
chelsea flower show tour		7	7	5	3	7	6	6	3	14	12	9	8	9	9	7	3	10	11	6	7	7	3
garden tours canada		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garden tours singapore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garden tours tasmania		1	1	1	1	1	1	1	2	3	2	3	2	1	1	1	1	3	1	1	1	2	1
garden tours usa		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
japan spring tours		3	9	3	4	5	3	3	4	6	5	4	5	4	3	3	4	4	7	7	8	7	4
new zealand small group tour		-	-	-	70	72	70	74	-	-	-	-	-	-	-	-	-	-	-	-	88	-	64
garden tours hawaii		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	2	1	1	1	1	1
garden tours mexico and cuba		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garden tours portugal		6	4	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
garden tours scandinavia		2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2
garden tours sri lanka		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
gardens of monaro tour		3	3	2	3	4	4	4	3	4	4	4	4	3	4	4	3	4	6	4	5	8	8
Spain garden tours		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	2
Bhutan & Nepal tours		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82
Ireland garden tours		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1
Sabah tours		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	22	19
Argentina & Brazil tour		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
