		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-15	2023-02-21	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-10	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
chain mesh fencing melbourne		2	2	3	3	4	3	3	2	3	3	3	3	3	3	3	3	3	3	3	9	7	11	11	7	8	5	7	7	7	4	4	5	5	3	2	7	5	7
cyclone fencing melbourne		1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	2	2	3	2	3	3	2	3	4	3	2	1	2	1	1	2	2	2	1
school fence melbourne		4	3	3	3	3	2	2	2	5	4	4	4	3	4	3	5	5	10	8	7	8	8	8	8	8	6	8	6	5	4	4	4	4	4	5	6	5	5
security fencing melbourne		32	35	34	47	49	39	47	30	34	37	20	21	28	24	13	14	16	17	7	12	10	18	18	13	14	15	13	13	14	13	13	13	30	29	53	33	38	39
tubular steel fencing melbourne		17	17	18	15	16	21	26	16	23	24	22	22	19	20	17	17	18	18	18	11	14	14	15	13	15	10	10	11	14	10	10	11	15	15	17	21	20	31
chainmesh fencing sunshine		3	3	2	4	4	4	9	4	5	4	4	4	4	4	3	4	4	3	3	3	3	2	-	3	2	1	1	2	2	3	2	2	2	2	3	1	3	3
cyclone fence Laverton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
fence repairs brooklyn		3	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	1	1	1	2	4	5	4	4	3	5	4	4	4	3	10
school fencing sunshine		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chainmesh fencing port melbourne		3	2	3	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3
chainmesh fencing laverton		1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chainmesh fencing derrimut		2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
school fencing wyndham vale		1	1	-	-	-	-	1	1	1	11	1	10	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
school fencing derrimut		1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
school fencing tarneit		1	-	-	-	-	-	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
security fencing laverton		2	2	4	4	7	7	7	7	7	9	5	5	6	5	5	6	7	4	2	3	6	6	4	3	2	3	2	3	4	4	4	2	5	7	5	5	8	3
security fencing port melbourne		4	4	-	3	3	1	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
chainmesh fencing western suburbs		2	2	2	1	1	3	3	1	3	5	5	4	5	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
fence repairs laverton		4	4	5	5	6	5	5	4	6	5	5	4	4	4	4	2	2	6	4	3	3	4	3	4	2	2	2	2	3	3	3	3	3	3	3	4	3	3
chainmesh fencing truganina		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
