		2022-08-26	2022-09-16	2022-10-13	2022-10-19	2022-11-17	2022-12-05	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-10	2023-09-15	2023-10-20	2023-11-09	2023-12-14	2024-01-19	2024-02-15	2024-03-12	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
elna sewing machines		24	24	17	19	19	16	13	13	13	9	12	11	11	12	10	12	10	11	10	11	10	9	6	10	11	7	8	3	6
janome memory craft		11	11	9	11	11	18	8	8	10	10	16	-	19	14	11	18	12	13	13	13	6	12	16	12	8	7	11	-	9
janome overlockers		21	12	20	22	22	19	15	12	24	21	9	6	21	19	10	12	11	8	7	8	8	8	10	8	7	7	7	8	9
janome sewing machines australia		7	6	7	7	6	7	6	6	13	11	11	12	9	10	10	10	10	10	12	11	8	11	12	13	9	9	9	11	9
janome sewing machines melbourne		11	7	7	7	7	8	10	10	9	8	8	10	8	8	7	8	7	5	6	5	5	5	7	5	5	4	4	4	5
quilting sewing machines		49	23	51	55	31	26	21	19	34	50	31	29	22	19	11	11	7	5	2	6	2	2	2	2	2	1	1	1	1
sewing machines australia		11	9	8	8	3	4	5	4	8	5	4	4	3	4	4	2	2	3	2	4	2	2	3	3	3	4	3	5	5
Sewing machines		-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	1	1	3	1	2	1	3	4	3	7	6	1	7	2
janome sewing machines		-	-	-	-	-	-	-	-	-	-	-	-	-	13	20	12	9	15	14	15	18	14	14	17	13	9	15	16	19
sewing machines sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	2	2	2	3	4	2	2	3	2	2	4	1	3	4
sewing machines melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	3	5	5	5	5	6	4	4	4	6	3	3	3
sewing machines perth		-	-	-	-	-	-	-	-	-	-	-	-	-	28	19	19	17	15	10	19	17	12	12	9	8	7	6	6	7
sewing machines adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	17	10	11	8	6	5	3	4	4	5	5	5	1	2	2	4
sewing machines hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	16	20	12	10	7	4	4	3	3	2	3	2	3	3	2	3
sewing machines brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	9	11	9	6	9	12	8	6	11	7	6	7	5	2	6	9
sewing machines geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	24	8	7	6	6	5	5	3	3	3	3	3	4	3	4	4
overlockers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	-	9	8	7	-	-	-	-
overlockers australia		-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2
overlockers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	62	7	8	4	2	1	1	1	1	1	1	1	1	1	1	1
overlockers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	8	5	6	5	3	3	3	1	1	1	2	2	1	1	1	1
overlockers perth		-	-	-	-	-	-	-	-	-	-	-	-	-	53	17	15	13	9	6	6	5	5	7	5	6	6	7	5	5
overlockers adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	54	14	11	9	4	1	1	1	1	1	1	1	1	2	2	2
overlockers hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	4	4	3	3	3	2	3	3	3	2	2	3	3
overlockers brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	70	10	22	10	6	6	5	4	4	3	5	4	4	4	3	2
overlockers geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	36	7	5	5	5	6	5	4	4	4	4	5	5	5	5	4
quilting sewing machines australia		-	-	-	-	-	-	-	-	-	-	-	-	-	17	8	9	4	7	6	3	2	2	2	2	1	1	1	1	1
quilting sewing machines sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	8	5	5	4	4	2	1	3	1	1	1	1	1	2	1	1
quilting sewing machines melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	7	3	3	4	6	2	3	3	1	1	1	1	1	1	1	1
quilting sewing machines perth		-	-	-	-	-	-	-	-	-	-	-	-	-	14	7	9	6	8	4	4	4	3	3	4	5	4	3	2	2
quilting sewing machines adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	14	5	9	5	1	1	1	1	1	1	2	5	5	2	3	2
