		2023-06-30	2023-07-03	2023-08-07	2023-09-15	2023-10-12	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-09	2024-06-13	2024-07-18	2024-08-16	2024-09-12	2024-10-18	2024-11-14
skin cancer clinic wingecarribee		-	-	-	6	1	1	1	1	4	1	1	1	1	1	1	1	1	1
skin cancer clinic albion park		-	-	-	7	2	1	1	1	1	1	1	1	1	1	1	1	1	1
skin cancer clinic berry		-	-	-	4	1	1	1	2	2	2	2	1	2	1	1	1	1	3
skin cancer clinic bomaderry		-	-	-	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2
skin cancer clinic corrimal		-	-	-	4	3	3	2	3	4	4	4	4	4	4	3	4	5	5
skin cancer clinic dapto		-	-	-	12	7	5	4	2	2	2	2	2	14	2	3	3	1	2
skin cancer clinic fairy meadow		-	-	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
skin cancer clinic kiama		11	15	16	8	6	4	4	3	3	3	2	3	2	2	1	1	1	1
skin cancer clinic mittagong		-	-	-	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3
skin cancer clinic moss vale		-	-	-	2	3	2	3	3	3	2	2	2	2	2	2	2	2	2
skin cancer clinic nowra		-	-	-	6	5	4	4	3	3	2	2	2	2	2	3	2	2	2
skin cancer clinic shellharbour		2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
skin cancer clinic warilla		-	-	14	5	2	1	2	1	1	1	1	1	1	1	1	1	1	1
skin cancer clinic wollongong		19	19	19	14	10	6	6	2	2	2	2	2	3	2	2	3	2	3
skin cancer clinic woonona		-	-	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers wingecarribee		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers albion park		-	-	-	1	1	2	2	1	2	2	1	1	1	1	2	1	2	2
dermal fillers berry		-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers bomaderry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers corrimal		-	-	-	5	5	4	3	5	4	4	3	3	2	1	1	2	2	2
dermal fillers dapto		16	16	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers fairy meadow		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers kiama		13	11	17	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1
dermal fillers mittagong		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers moss vale		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers nowra		-	-	-	5	6	3	3	4	3	4	2	2	2	1	4	2	3	3
dermal fillers shellharbour		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers warilla		-	-	7	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dermal fillers wollongong		31	30	30	9	9	5	6	3	3	4	4	2	5	3	4	3	3	5
dermal fillers woonona		-	-	-	1	1	1	2	2	2	1	1	1	2	2	1	1	1	1
anti wrinkle injections wingecarribee		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections albion park		-	-	-	2	2	2	3	3	3	3	2	2	3	2	3	1	2	3
anti wrinkle injections berry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections bomaderry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections corrimal		-	-	-	3	4	4	4	5	5	5	5	3	3	1	2	2	1	2
anti wrinkle injections dapto		10	-	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections fairy meadow		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections kiama		-	-	-	2	2	2	2	1	1	1	1	1	2	2	2	1	1	2
anti wrinkle injections mittagong		-	-	-	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections moss vale		-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
anti wrinkle injections nowra		-	-	-	6	6	6	5	5	5	4	4	3	3	5	5	5	3	4
anti wrinkle injections shellharbour		7	7	4	3	2	2	4	3	2	1	1	1	1	1	1	1	1	1
anti wrinkle injections warilla		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
anti wrinkle injections wollongong		50	49	47	10	9	11	12	12	11	11	4	6	8	7	6	6	2	3
anti wrinkle injections woonona		-	-	-	2	2	2	2	2	2	2	2	1	2	1	2	1	1	2
skin laser clinic wingecarribee		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic albion park		45	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic berry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic bomaderry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic corrimal		-	-	-	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
skin laser clinic dapto		-	-	-	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1
skin laser clinic fairy meadow		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic kiama		-	-	-	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1
skin laser clinic mittagong		-	-	-	3	2	2	1	2	2	1	1	1	1	1	1	1	1	1
skin laser clinic moss vale		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic nowra		-	-	-	10	3	3	3	3	3	3	3	2	3	3	3	3	3	3
skin laser clinic shellharbour		5	5	6	4	4	4	4	4	3	3	3	3	4	4	4	4	4	4
skin laser clinic warilla		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skin laser clinic wollongong		42	43	61	7	6	6	6	6	6	6	6	5	8	7	7	15	5	6
skin laser clinic woonona		-	-	-	7	3	4	4	3	3	4	2	2	4	3	2	2	2	2
botox dapto		-	-	-	18	9	7	7	7	7	7	5	4	5	4	3	4	2	2
botox woonona		-	-	-	10	11	9	14	7	7	7	6	8	8	7	6	7	7	6
botox wollongong		-	-	-	-	82	27	97	84	68	77	73	71	45	40	37	36	31	17
botox shellharbour		-	19	8	10	8	7	7	7	7	8	4	3	3	2	2	2	2	2
botox nowra		-	-	-	16	24	12	13	14	13	14	14	12	16	13	8	13	7	7
lip fillers wingecarribee		-	-	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers albion park		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers berry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers bomaderry		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers corrimal		-	-	-	5	3	3	3	2	2	2	2	2	3	1	1	1	2	2
lip fillers dapto		-	-	23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers fairy meadow		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers kiama		-	-	20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers mittagong		-	-	12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers moss vale		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers nowra		-	-	-	5	5	1	1	1	1	1	1	1	1	1	2	1	1	1
lip fillers shellharbour		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers warilla		-	-	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lip fillers wollongong		-	-	38	4	3	3	2	2	2	2	2	2	3	3	3	2	1	1
lip fillers woonona		-	-	-	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
