		2023-05-18	2023-06-15	2023-07-20	2023-08-17	2023-09-14	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
shower screens sydney		51	53	33	19	45	34	48	40	37	36	32	34	42	32	44	40	64	64	62
glass balustrade sydney		22	26	29	26	26	20	51	38	37	32	35	57	54	49	45	55	55	47	58
glass pool fencing sydney		51	49	40	21	30	41	38	46	39	37	39	41	42	37	36	33	34	65	84
glass splashbacks sydney		35	29	21	19	21	19	25	20	20	18	17	15	14	22	31	34	36	30	33
toughened mirrors sydney		2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	4	5
shower screens wollongong		-	-	-	-	-	-	20	21	23	23	23	36	37	32	29	32	28	30	36
shower screens liverpool		28	24	26	34	31	-	33	28	12	11	12	10	8	8	7	6	9	7	9
shower screens narellan		19	17	20	21	20	17	20	11	14	14	13	12	12	12	11	11	15	13	13
shower screens ingleburn		-	-	20	20	17	18	12	10	9	9	8	10	9	11	9	8	10	10	9
shower screens kirrawee		20	9	8	7	8	7	6	5	5	5	5	5	5	6	3	6	6	4	4
shower screens kogarah		-	-	23	24	23	21	6	7	7	6	5	6	4	5	5	4	5	6	4
shower screens mittagong		-	-	16	18	17	18	9	8	11	10	9	10	10	10	9	8	11	9	10
shower screens moorebank		7	6	5	5	4	3	5	5	5	6	4	3	3	3	4	5	5	5	6
shower screens rockdale		14	11	14	17	15	11	5	4	3	3	3	5	4	4	2	2	2	2	3
shower screens bexley		-	-	6	4	6	7	5	5	5	5	4	4	5	5	3	6	6	4	6
shower screens camden		22	18	22	24	21	9	10	11	11	11	12	11	12	14	13	12	14	14	15
shower screens caringbah		3	3	2	-	3	2	3	6	6	7	5	5	4	6	6	9	8	6	8
shower screens cronulla		13	13	10	12	13	11	7	5	6	5	4	4	4	4	2	2	5	5	2
shower screens engadine		-	-	7	6	8	4	4	4	4	4	4	5	4	2	3	3	2	3	3
shower screens hurstville		9	7	8	10	9	5	5	5	6	5	4	4	5	5	5	5	6	5	6
shower screens maroubra		-	-	7	4	4	6	6	6	7	7	7	6	7	7	6	6	7	7	9
shower screens marrickville		30	38	7	6	5	6	6	6	6	7	6	5	4	7	4	4	7	6	6
shower screens menai		-	-	16	16	19	7	7	6	6	7	7	7	7	9	9	10	9	7	4
shower screens revesby		20	14	8	8	14	12	8	8	12	10	9	9	8	9	6	5	8	9	8
shower screens rose bay		-	-	4	4	15	10	16	4	3	3	2	3	2	3	3	2	3	3	2
glass balustrade wollongong		-	-	52	60	51	47	17	17	16	16	13	13	11	13	13	9	14	16	16
glass balustrade liverpool		39	38	39	36	39	34	48	47	2	3	3	2	3	2	2	2	3	3	4
glass balustrade bexley		-	87	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
glass balustrade camden		26	12	29	31	25	25	3	4	2	2	2	2	2	2	2	2	2	2	2
glass balustrade caringbah		2	2	3	-	2	1	2	5	4	3	4	4	4	3	3	3	1	1	1
glass balustrade cronulla		4	5	6	5	2	3	3	5	4	4	3	3	3	3	4	2	4	2	3
glass balustrade engadine		-	-	3	24	8	6	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrade hurstville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrade ingleburn		-	-	21	25	25	24	3	1	1	1	1	1	2	1	1	1	2	3	4
glass balustrade kirrawee		5	5	5	5	4	6	6	5	5	5	4	4	4	4	4	6	6	3	8
glass balustrade kogarah		-	-	4	3	4	2	2	2	3	3	3	2	2	3	2	3	2	3	2
glass balustrade maroubra		-	-	10	20	11	1	2	1	1	1	1	1	2	1	1	1	2	1	1
glass balustrade marrickville		1	1	2	2	1	1	1	1	1	1	1	1	3	1	2	2	2	2	4
glass balustrade menai		-	-	2	4	5	3	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrade mittagong		-	-	5	13	15	13	2	2	1	1	1	1	1	1	1	1	1	1	2
glass balustrade moorebank		5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrade narellan		8	7	5	6	10	8	10	2	1	1	1	1	1	1	1	1	1	2	1
glass balustrade revesby		10	7	2	2	10	2	2	2	2	2	2	2	3	2	3	3	3	4	3
glass balustrade rockdale		3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass balustrade rose bay		-	-	1	1	4	7	9	1	1	1	1	1	1	1	1	1	1	2	1
glass pool fencing wollongong		-	-	58	41	45	56	20	24	23	13	11	13	11	9	10	17	22	20	18
glass pool fencing camden		9	9	29	8	10	8	8	10	6	7	5	5	4	5	5	6	5	7	8
glass pool fencing caringbah		4	4	3	3	4	3	5	5	4	4	5	4	4	4	3	6	4	6	5
glass pool fencing cronulla		7	7	9	8	9	11	7	7	6	4	6	6	3	4	7	10	10	6	10
glass pool fencing rose bay		-	-	1	2	9	12	15	4	4	1	4	5	2	3	2	2	2	4	3
