		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-16	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-02	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
fit out company melbourne		-	-	-	-	-	-	-	75	64	39	45	53	41	43	49	46	50	49	55	55	32	40	40	75	75	61	63	62	59	63	45	68	59	62	53	46	48
office fitouts melbourne		-	-	-	-	-	-	93	93	-	-	-	-	-	-	-	-	-	-	-	80	44	51	56	87	89	82	81	82	-	-	-	-	-	-	90	-	88
commercial office fit out melbourne		-	-	-	-	75	54	60	63	57	26	52	68	67	87	77	78	58	75	85	49	30	35	37	53	50	48	47	37	56	58	62	54	56	69	57	58	57
commercial fit out melbourne		-	-	-	-	77	62	59	61	57	43	56	68	66	68	69	68	65	71	58	59	34	42	43	63	60	60	48	44	64	62	70	54	60	73	62	61	62
fitouts melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63	77	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-
retail fitouts melbourne		-	-	-	-	-	42	53	-	33	29	39	73	30	59	-	-	26	20	27	24	27	22	18	21	25	27	24	23	33	58	59	58	59	60	27	32	24
shop fitouts melbourne		-	-	-	-	71	56	63	54	45	58	34	34	42	74	52	49	32	20	32	22	28	20	20	21	20	17	15	12	20	30	24	33	33	36	19	29	30
medical fitouts melbourne		-	-	-	-	59	47	20	21	22	23	22	18	30	38	27	21	14	15	17	12	16	18	20	21	25	36	50	35	56	60	68	69	64	64	59	48	50
hospitality fitout melbourne		-	-	-	-	28	21	24	19	15	6	6	5	4	6	4	5	2	2	3	3	2	3	5	3	5	7	7	9	12	11	26	17	17	68	7	8	11
bar fitouts melbourne		-	-	-	-	41	72	30	7	2	2	3	3	2	3	3	3	2	2	2	2	2	4	3	3	3	2	3	3	6	6	9	7	6	4	6	11	16
office fitouts mornington peninsula		-	-	-	-	46	22	17	18	14	17	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
office fitouts mount eliza		-	-	-	-	-	34	10	7	7	9	5	2	2	1	2	3	2	2	2	1	2	-	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1
office fitouts mount martha		-	-	-	-	-	31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
office fitouts somerville		-	-	-	-	-	-	18	3	3	18	2	1	2	2	3	1	2	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
office fitouts frankston		-	-	-	-	-	-	97	72	56	57	32	3	2	3	2	3	3	3	3	2	3	2	2	2	2	3	2	2	1	1	1	1	1	1	1	1	1
commercial fit out mornington peninsula		-	-	-	-	5	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fit out mount eliza		-	-	-	-	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fit out mount martha		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fit out somerville		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1
commercial fit out frankston		-	-	-	-	3	3	3	3	3	2	3	2	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
