		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-09-27	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-12	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Soil Testing Melbourne		17	15	17	11	13	9	8	13	14	36	42	28	31	38	38	41	46	55	42	36	43	31	31	38	29	37	52	58	61	-	59	66	79	42	53	41	45	48
Soil Testing For Construction		5	7	12	9	11	11	9	16	7	40	48	37	41	48	39	43	48	-	68	71	58	36	41	52	56	49	49	57	56	59	71	70	37	81	54	-	-	63
Distressed Building Investigations		2	2	2	1	2	2	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	1	1
Earthwork Supervision		1	1	1	1	1	1	1	1	1	1	2	1	3	2	2	21	41	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	65	45	-	-	83	-
Geotechnical Services Melbourne		1	1	2	2	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3
Geotechnical Drilling		5	6	6	6	5	4	12	4	8	5	4	3	4	13	7	5	13	5	22	22	17	2	4	25	23	6	9	11	7	8	11	11	7	35	31	41	38	28
Pavement Design Services		1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	4	4	4	4	4	4	4	5	4	8	1	1	1	1	1	1	1	1	1	1	1	1	5
Pavement Design Melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	4	2	3	3	3	4	6	6	4	4	4	4	4	4	3	5	6	3	2	6
Soil Testing Mornington Peninsula		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
Geotechnical Services Mornington Peninsula		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
