		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
horse riding jindabyne		3	2	3	3	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
horse riding kosciuszko national park		5	5	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	5	5	6	6	6	6	8	7	7	7	8	9	8	7
horse riding snowy mountains		2	2	2	11	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
accommodation jindabyne		41	46	22	44	51	51	45	45	37	45	63	64	58	56	54	47	67	35	35	42	43	41	41	-	45	60	60	64	77	69	33	59	54	43	40	34	34
accommodation kosciuszko national park		17	16	17	13	17	15	23	19	19	19	20	20	18	16	16	15	17	18	16	12	14	12	13	12	13	12	14	16	17	17	14	17	15	13	22	19	20
accommodation snowy mountains		26	31	26	29	27	28	43	36	34	28	36	34	42	43	41	32	31	27	24	35	29	32	31	24	-	25	29	30	36	37	27	33	27	29	35	34	33
accommodation thredbo		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
accommodation crackenback		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cabins jindabyne		17	19	15	21	31	31	31	39	29	28	21	31	32	30	29	27	42	35	34	39	28	28	30	29	36	33	31	55	32	30	27	38	37	63	47	36	34
cabins kosciuszko national park		14	10	9	10	10	14	12	18	22	20	14	15	16	16	14	16	18	20	18	14	17	12	13	11	13	13	11	16	17	15	14	28	25	30	30	16	20
cabins snowy mountains		31	39	22	48	51	51	47	36	33	31	26	29	26	20	19	18	20	26	20	16	14	29	35	26	22	27	25	26	22	23	16	53	17	16	18	15	16
cabins thredbo		-	-	-	-	-	-	-	-	-	-	-	-	69	-	-	67	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cabins crackenback		56	51	53	48	43	-	60	-	-	-	-	-	-	51	50	43	43	48	47	-	57	59	-	-	-	-	-	-	-	52	55	60	61	65	66	64	57
wedding venues jindabyne		7	6	6	6	6	8	8	8	8	8	9	9	11	11	9	9	8	8	8	8	6	7	6	6	8	6	6	6	7	8	10	11	7	9	6	5	7
wedding venues kosciuszko national park		9	8	8	8	8	10	11	12	13	9	8	9	7	9	6	7	14	14	17	13	15	16	13	13	13	14	15	17	15	15	12	19	15	17	15	16	15
wedding venues snowy mountains		6	6	6	7	10	11	13	10	10	11	10	10	12	9	-	9	9	9	5	7	8	7	8	8	12	11	14	12	9	16	42	13	10	12	18	8	11
wedding venues thredbo		66	68	46	65	69	68	59	-	64	65	55	63	60	56	65	67	72	64	62	65	41	43	44	41	41	41	59	55	59	81	-	-	63	-	-	-	87
wedding venues crackenback		-	65	-	74	-	-	-	52	50	73	72	-	91	84	-	-	-	-	84	88	-	-	-	-	-	-	-	-	84	-	-	-	-	-	-	-	-
accommodation perisher		57	51	53	55	69	67	55	52	41	50	42	53	62	38	36	37	28	31	31	58	47	57	57	47	51	64	66	73	54	70	67	72	83	70	80	77	82
cabins perisher		27	40	20	12	12	23	14	18	14	16	9	13	6	7	7	6	7	6	6	8	7	7	8	9	7	7	6	5	4	4	4	5	4	4	4	5	5
