		2021-07-23	2021-08-19	2021-09-16	2021-10-21	2021-10-31	2021-11-15	2021-11-24	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-08-17	2022-08-22	2022-09-16	2022-09-29	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-04	2023-08-14	2023-09-04	2023-09-15	2023-10-04	2023-10-11	2023-11-17	2023-11-21	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-07-04
epoxy flooring abbotsford		-	-	11	2	14	1	10	2	1	1	7	1	1	-	-	-	-	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
epoxy flooring balwyn		-	-	1	1	1	2	2	2	2	2	2	2	5	-	-	-	-	9	7	8	1	1	3	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
epoxy flooring braeside		-	-	9	2	2	2	2	3	2	2	2	2	5	-	-	-	-	7	7	7	3	3	4	4	3	5	3	5	4	3	4	4	3	3	3	4	3	4	4	1	2
epoxy flooring camberwell		-	-	12	2	13	2	2	4	16	6	1	2	2	-	-	-	-	4	5	4	1	4	4	4	2	4	4	4	3	1	1	1	1	1	1	1	1	1	1	1	1
epoxy flooring campbellfield		-	-	2	3	3	3	16	11	6	3	7	5	8	-	-	-	8	6	9	7	4	5	6	5	4	6	5	5	5	4	3	3	3	3	3	3	3	4	4	5	5
epoxy flooring clyde		-	-	1	1	1	4	1	1	7	1	3	2	1	-	-	-	-	7	7	5	1	1	2	8	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	2	3
epoxy flooring collingwood		-	-	1	1	1	1	1	1	1	1	1	3	4	-	1	-	-	3	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
epoxy flooring dandenong		-	-	49	41	39	42	46	35	29	5	5	5	5	-	-	-	6	5	13	10	4	6	7	7	7	9	11	11	8	7	7	7	5	6	7	7	6	7	7	7	7
epoxy flooring derrimut		-	-	11	15	14	4	4	4	4	4	3	3	5	-	-	-	-	6	6	5	2	2	4	4	2	4	3	3	2	1	1	1	1	1	1	2	2	3	2	3	3
epoxy flooring greensborough		-	-	8	1	1	1	2	2	1	1	1	3	1	-	-	-	-	3	4	2	2	2	2	3	2	3	2	2	2	1	1	2	2	1	2	1	1	1	2	2	2
epoxy flooring heidelberg		-	-	1	3	3	3	28	1	5	1	1	1	2	-	-	-	-	2	4	3	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
epoxy flooring keysborough		-	-	21	23	4	26	4	4	4	12	7	5	2	-	-	-	5	7	9	6	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
epoxy flooring lower plenty		-	-	1	1	1	1	1	1	2	1	1	1	1	-	1	-	1	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
epoxy flooring north melbourne		-	-	2	2	2	2	2	2	2	1	1	22	2	-	1	19	18	1	6	6	2	1	2	1	2	1	3	3	2	2	2	2	2	1	2	2	2	2	2	2	3
epoxy flooring port melbourne		-	-	1	1	1	38	3	36	2	23	25	1	1	-	-	-	9	5	9	7	1	1	3	2	3	3	4	3	2	1	2	2	1	1	2	3	2	1	2	1	2
epoxy flooring reservoir		-	-	3	4	4	3	3	4	3	4	4	2	2	-	-	-	1	1	8	5	1	1	3	3	3	5	5	5	3	3	1	1	1	4	1	2	1	1	1	1	1
epoxy flooring revanhall		-	-	1	1	1	7	1	1	1	1	1	2	2	-	-	-	-	5	5	3	2	1	1	2	1	2	2	2	2	2	2	2	3	3	3	3	3	2	2	3	2
epoxy flooring richmond		-	-	3	3	3	3	3	3	-	-	-	-	-	-	6	-	-	6	7	7	4	4	6	5	7	6	6	6	5	5	5	5	5	5	5	5	4	4	4	4	2
epoxy flooring templestowe		-	-	2	2	2	1	1	1	1	1	1	1	1	1	1	-	-	1	5	5	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	1
