		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-07-29	2024-08-16	2024-09-20	2024-10-18	2024-11-14
audi repairs berwick		2	3	3	3	3	4	3	3	5	5	4	4	5	5	5	5	5	5	5	4	5	5	4	5	5	5	5	5	5	5	5	5	4	4	3	5	6	6
audi repairs officer		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
audi service berwick		6	6	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	6	6	6	7	5	8	8	8	8	7	8	8	8	8	7	7	6	5	7	6	7
bmw repairs pakenham		1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	1	1	1
european car repairs pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mercedes benz repairs berwick		5	6	5	5	5	5	5	4	4	4	3	2	3	3	2	2	4	3	3	2	2	2	2	3	2	1	2	1	2	2	3	3	2	2	3	4	6	4
mercedes benz service berwick		6	6	11	5	6	6	6	7	5	5	4	4	4	5	4	4	5	5	5	4	5	5	6	7	5	5	6	4	6	7	7	8	6	5	8	9	8	7
mercedes mechanic officer		5	3	4	5	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	2
vw car service officer		1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	4	4	4	3	2	3	2	2	1	1	1	1	1	1	1	1	3	3	4	6	5	13
vw repairs berwick		5	5	6	5	5	3	4	4	4	3	5	5	5	5	5	5	4	4	4	3	5	5	5	5	5	5	5	5	5	4	3	3	3	3	4	5	5	6
audi car service pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1
audi mechanic berwick		1	1	3	3	3	3	3	3	4	3	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	4	4	4	3	2	2	2	2	3	4	4
audi mechanic pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
audi mechanic warragul		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
audi repairs pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1
audi vehicle service pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1
european car service pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
european vehicle mechanic berwick		4	4	4	3	3	3	3	3	3	3	4	4	4	2	3	3	2	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	3	3	3
european vehicle mechanic pakenham		1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
european vehicle mechanic warragul		2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
european vehicle repairs pakenham		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
european vehicle service pakenham		1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
land rover mechanic berwick		17	21	21	21	18	17	15	18	17	23	27	23	17	26	11	11	15	18	16	11	20	15	18	17	9	10	15	13	14	12	12	10	10	10	18	20	23	20
land rover mechanic pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
land rover mechanic warragul		3	5	5	2	5	3	3	3	3	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	3	2	3	5	9	8
land rover repairs pakenham		1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1
landrover vehicle service pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mercedes car service berwick		6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	6	6	5	6	6	6	7	7	8	6	5	7	5	7	6
mercedes car service pakenham		1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1
mercedes mechanic berwick		5	3	3	4	3	2	2	2	2	2	1	1	1	2	1	1	4	4	2	1	4	4	4	3	4	4	1	1	2	2	2	2	2	2	2	3	3	4
mercedes mechanic pakenham		1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mercedes mechanic warragul		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mercedes repairs pakenham		1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
mercedes vehicle service pakenham		1	3	2	2	2	1	2	2	2	2	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1
vw car service pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
vw mechanic berwick		6	6	6	4	4	2	2	2	3	3	3	4	5	5	5	4	3	3	3	3	4	3	4	3	3	5	5	5	4	4	3	3	3	3	4	4	5	4
vw mechanic pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
vw mechanic warragul		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	6
vw repairs pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
vw vehicle service pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
audi mechanic cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	9	9	12
audi mechanic koo wee rup		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	6
audi mechanic narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75	54	50	46
audi mechanic tooradin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1
audi repairs narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5
audi service narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	12	13	14
audi service warragul		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2
bmw repairs berwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	32	13	19	19
bmw repairs cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	-	61	64
bmw repairs koo wee rup		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	8
bmw repairs narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	-	28	41
bmw repairs officer		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bmw repairs tooradin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4	-	2
bmw service narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	49	49	58
european car service narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	4	4
european car service warragul		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2
european vehicle mechanic cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	5	1	2	3
european vehicle mechanic koo wee rup		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	1	1	1	1
european vehicle mechanic narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	6	5	4	3
european vehicle mechanic tooradin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	1	1	1	1
land rover mechanic cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	-	-	-
land rover mechanic koo wee rup		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
land rover mechanic narre warren		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	30	21	26
land rover mechanic tooradin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-
