		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-16	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-08	2022-09-07	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-08	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-15	2024-09-20	2024-10-18	2024-11-14
self storage altona		1	1	1	1	1	1	1	1	4	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1
self storage altona meadows		3	3	3	2	2	2	2	2	2	6	2	2	2	2	2	2	2	2	2	2	2	1	3	4	4	5	5	6	4	4	5	4	4	4	4	4	4
self storage altona north		4	5	4	4	4	4	4	4	4	11	4	4	5	4	3	4	4	4	4	4	4	4	4	5	6	6	5	6	5	6	6	6	6	6	6	7	7
self storage footscray		9	9	8	9	8	7	6	6	6	-	7	6	6	6	7	8	9	11	11	13	14	13	13	13	14	14	14	14	11	10	14	15	13	9	12	11	12
self storage hoppers crossing		4	5	5	4	5	4	4	4	5	54	5	4	5	6	6	6	6	6	6	7	7	8	8	9	10	10	11	12	11	12	13	12	12	13	11	11	13
self storage laverton		8	9	8	5	5	6	7	6	4	13	5	3	3	4	4	5	4	5	5	4	5	8	-	8	10	8	8	7	4	5	5	6	6	5	4	4	6
self storage newport		5	3	64	53	5	7	60	9	24	87	71	50	68	11	25	9	8	32	35	78	4	5	13	12	12	5	14	16	12	15	13	14	4	16	14	15	10
self storage point cook		5	8	6	4	4	2	2	2	2	25	3	2	2	2	3	4	5	5	5	7	8	7	10	10	10	10	10	11	10	10	8	6	6	4	5	7	7
self storage werribee		5	5	5	6	6	5	5	5	6	53	6	6	6	8	8	8	8	8	9	11	12	14	10	14	13	13	13	13	13	11	12	15	18	15	15	18	16
self storage williamstown		3	6	6	5	4	6	3	5	7	70	7	8	8	8	7	8	7	4	4	4	4	3	5	5	5	5	5	5	5	5	7	6	9	11	9	26	12
storage boxes altona		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
storage boxes altona meadows		3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage boxes altona north		2	2	2	2	2	2	2	1	2	2	1	1	2	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage boxes footscray		1	1	1	1	1	1	1	1	1	13	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2
storage boxes hoppers crossing		3	3	3	3	3	3	2	2	2	15	2	2	1	2	3	2	2	2	2	2	3	2	2	3	2	5	7	6	6	6	7	6	6	7	7	8	7
storage boxes laverton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	3	3	3	3	3	3	2	2	1	1	2
storage boxes newport		1	7	8	7	1	1	7	8	7	20	5	5	7	7	5	5	9	1	10	11	11	11	10	13	14	13	14	13	4	4	4	8	8	9	8	10	5
storage boxes point cook		1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
storage boxes werribee		4	4	5	4	4	3	2	5	2	18	2	2	3	3	4	3	5	5	4	5	6	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
storage boxes williamstown		2	3	2	2	1	1	1	1	1	6	4	4	3	1	1	1	1	1	1	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3
caravan storage altona		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage altona meadows		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage altona north		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage footscray		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage hoppers crossing		2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	3	3	3	4	3	4	4
caravan storage laverton		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage newport		3	5	3	4	2	2	2	2	4	8	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage point cook		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan storage werribee		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
caravan storage williamstown		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
