		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-31	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
storage artarmon		4	5	4	4	4	4	3	3	4	2	4	4	4	4	3	4	2	2	2	2	2	3	4	4	2	2	1	1	2	2	2	3	3	3	1	1	1	1
storage cammeray		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage chatswood		4	5	5	5	6	6	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	6	5	6	5	5	5	6	5	6	6	6	6	6	6	6	7	6
storage cremorne		2	2	2	1	2	2	2	2	2	1	1	1	1	3	2	1	2	2	2	2	2	2	5	4	6	6	6	6	6	6	3	6	6	6	6	5	3	5
storage crows nest		2	2	2	2	2	3	2	4	5	4	4	4	5	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage greenwich		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	1	1
storage kirribilli		1	1	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	3	3	2	2	2	2	4	3
storage lane cove		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2
storage lindfield		3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1
storage mcmahons point		1	2	2	2	1	3	1	1	1	1	3	3	1	1	1	1	3	3	2	1	1	2	2	3	4	4	3	4	3	3	4	4	3	3	1	1	1	1
storage milsons point		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	-	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1
storage mosman		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage naremburn		1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	1	2	5	3	4	4	3	3	2	3	3	3	3	2	2	2	1	1	2
storage neutral bay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage north sydney		4	3	2	2	2	1	1	2	1	1	1	1	2	3	2	1	1	1	2	1	4	3	3	3	1	1	1	1	1	1	1	1	1	2	1	2	1	2
storage northbridge		1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	3	2	3	3	1	5
storage st leonards		2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	2	1	2	2
storage waverton		1	1	1	1	1	1	1	1	2	1	1	3	2	2	1	1	1	15	1	1	1	1	1	3	3	2	3	3	3	2	3	3	4	4	1	1	1	1
storage wollstonecraft		1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	3	3	1	2	2	2	1	1	1	1	1
self storage artarmon		4	1	4	4	1	4	3	4	4	4	4	4	4	3	2	3	1	2	3	3	3	3	2	3	2	2	1	2	2	3	3	3	2	2	1	4	3	2
self storage cammeray		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1
self storage chatswood		5	6	6	6	6	6	6	6	6	6	7	7	7	8	7	6	7	8	8	8	8	8	6	8	6	5	5	5	5	6	6	7	6	6	8	9	8	8
self storage cremorne		2	2	2	2	2	3	2	2	2	1	1	1	1	1	1	1	2	3	3	2	3	4	2	7	5	5	6	7	7	6	4	6	5	7	5	8	5	4
self storage crows nest		2	2	3	3	2	4	4	4	3	4	4	5	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
