		2023-01-20	2023-02-17	2023-03-16	2023-04-14	2023-04-18	2023-05-17	2023-06-15	2023-06-22	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
string quartet		8	6	18	12	13	6	8	10	8	8	8	1	1	1	1	5	5	5	5	5	8	5	6	6	7
string quartet for hire		3	3	3	3	3	3	3	3	3	-	1	1	2	3	3	3	2	2	2	3	2	3	1	2	1
string band for hire		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
string quartet hire cost		3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	1	1
wedding string quartet		3	2	2	2	2	2	2	2	2	3	3	3	3	3	2	2	2	2	2	2	2	2	1	1	2
string band for weddings		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1
wedding string quartet cost		4	4	4	3	3	3	3	2	3	4	3	5	4	4	4	5	5	5	5	5	4	4	3	4	4
string quartet for corporate functions		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
string quartet for funeral		2	2	1	1	1	1	1	1	1	1	2	2	1	2	5	1	1	1	1	1	1	1	1	1	1
string quartet for farewell		-	16	20	43	41	1	1	1	1	1	1	1	1	1	1	1	1	45	41	38	47	38	49	47	33
string quartet for wakes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
string quartet for receptions		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
string quartet for celebrations		17	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
string quartet for recording sessions		2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
string quartet for concert		68	33	3	2	2	3	3	3	4	4	3	1	1	1	2	2	1	1	3	2	2	2	8	1	1
string quartet melbourne		4	4	5	5	5	3	2	3	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2
string quartet wedding melbourne		2	2	2	2	2	1	1	1	2	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2
string quartet hire melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	2	2
string quartet sydney		5	6	8	8	8	5	7	6	7	5	5	5	5	4	5	5	5	4	5	3	2	5	2	2	1
string quartet wedding sydney		4	4	5	5	5	2	5	5	4	3	4	3	2	2	4	3	2	2	2	2	2	2	1	1	1
string quartet hire sydney		4	4	4	5	4	2	3	3	3	3	2	3	3	2	2	2	2	2	2	2	2	2	1	2	1
string quartet brisbane		5	6	7	7	6	4	6	6	6	5	5	5	7	7	8	8	6	6	8	8	9	9	9	8	8
string quartet wedding brisbane		4	4	5	4	3	1	3	3	2	4	3	3	3	4	3	3	3	5	5	4	3	5	3	6	4
string quartet hire brisbane		4	3	5	5	3	1	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
string quartet adelaide		2	3	4	4	4	2	3	2	2	5	4	1	4	4	3	4	4	4	5	5	5	3	5	4	4
string quartet wedding adelaide		2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	3	3	3	2	3	3	3
string quartet hire adelaide		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
string quartet perth		3	3	3	3	3	3	3	3	3	2	3	3	4	4	3	3	4	4	4	4	4	4	4	87	4
string quartet wedding perth		3	3	2	2	2	2	2	2	2	2	3	2	2	3	2	2	3	3	3	3	4	4	2	48	4
string quartet canberra		1	1	2	2	3	2	3	3	2	3	3	3	3	2	3	3	1	1	1	1	1	1	2	1	1
string quartet wedding canberra		1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
string quartet hobart		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
string quartet wedding hobart		1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1
string quartet newcastle		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1
string quartet wedding newcastle		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
