		2021-11-18	2021-12-08	2021-12-20	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-07-31	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-07	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
skip bin hire melbourne		51	57	69	58	54	28	39	28	22	24	33	77	83	55	89	88	83	45	40	43	83	26	26	20	22	21	32	34	21	19	19	17	21	19	21	20	48	81	90
bin hire bayswater		6	6	6	9	7	10	9	11	11	13	14	12	15	15	14	13	13	6	6	9	9	9	8	7	8	7	8	7	7	6	7	6	6	8	5	7	11	7	7
bin hire belgrave		-	-	5	5	5	4	5	5	5	6	4	8	7	7	6	7	8	7	7	6	8	7	7	7	5	5	5	5	6	6	7	5	5	40	7	8	6	7	8
bin hire blackburn		-	-	7	4	3	4	3	3	3	3	3	4	4	4	4	6	4	3	4	4	7	6	5	4	4	4	4	3	3	3	4	3	3	3	1	3	5	5	5
bin hire boronia		5	5	5	5	-	6	4	4	4	4	4	8	7	5	5	6	6	6	5	6	6	6	6	6	6	7	7	7	6	6	5	5	6	5	5	5	4	9	7
bin hire box hill		-	-	2	2	2	2	2	2	2	2	2	3	3	4	5	4	4	7	2	2	8	4	6	6	5	4	3	3	3	4	4	4	4	5	5	6	6	9	6
bin hire burwood		4	2	4	3	2	2	-	2	4	5	5	5	5	8	5	5	5	5	3	5	8	6	6	5	6	6	5	4	3	3	5	6	7	7	8	8	7	7	7
bin hire camberwell		6	7	6	5	6	4	5	7	7	5	5	6	7	7	7	6	4	4	4	4	5	5	5	4	4	6	6	7	7	6	5	5	5	3	3	3	3	3	3
bin hire coldstream		-	-	3	3	4	4	3	3	3	3	3	4	4	4	3	2	2	1	1	1	3	1	3	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	3
bin hire croydon		-	-	5	6	4	6	4	4	6	6	8	10	9	10	8	9	10	7	6	6	12	9	7	6	10	10	14	21	11	7	8	11	12	13	18	15	17	12	17
bin hire dandenong		8	8	10	7	6	7	9	5	8	8	8	11	12	13	12	15	13	11	11	12	13	11	13	10	15	11	11	11	12	14	14	11	12	16	11	11	10	14	17
bin hire doncaster		-	-	4	6	6	4	3	3	6	8	5	8	8	8	9	10	9	8	8	8	11	10	9	8	10	11	9	11	9	8	10	9	9	12	12	10	28	13	12
bin hire endeavour hills		6	5	3	3	2	2	3	3	5	5	5	7	6	5	7	7	8	9	9	8	9	8	8	8	9	8	7	7	7	7	7	8	9	11	10	8	8	8	8
bin hire ferntree gully		-	-	8	5	8	4	5	7	8	10	10	10	10	12	12	11	10	10	10	10	12	10	11	10	9	8	7	8	6	6	7	6	6	6	5	6	6	7	7
bin hire glen waverley		6	5	5	2	6	4	2	2	2	3	2	4	6	6	4	7	7	5	5	5	9	8	10	9	11	9	9	8	11	8	6	7	7	7	7	7	6	5	7
bin hire hawthorn		6	5	5	4	4	5	3	3	3	5	4	7	6	5	5	4	4	4	4	4	6	5	5	5	7	7	5	6	6	6	6	6	8	7	8	9	8	10	11
bin hire healesville		-	-	2	2	2	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	5	3	3	3	2	2	2	2	2	2	4	3	3	3	3	4	4	3	5
bin hire keysborough		6	5	5	4	5	2	4	3	5	8	7	7	7	8	9	8	8	5	7	5	9	6	6	6	6	8	8	7	8	6	4	3	5	6	7	5	4	5	5
bin hire kilsyth		-	-	3	3	3	3	3	3	4	3	3	5	5	4	5	4	4	2	2	2	5	3	3	3	2	4	3	3	3	3	3	3	3	3	3	3	5	5	6
bin hire knoxfield		5	4	4	4	4	4	3	3	3	4	4	4	4	6	4	6	7	6	3	3	7	7	7	6	6	5	5	5	5	5	5	5	5	5	5	5	8	5	6
bin hire lilydale		-	-	4	7	5	5	-	7	9	9	9	10	8	9	9	8	10	7	8	6	8	7	8	7	8	8	8	8	8	8	9	11	9	10	9	10	21	14	17
bin hire lysterfield		6	6	7	7	5	5	3	3	4	4	4	5	6	5	8	8	7	6	8	5	7	8	8	5	7	6	6	5	6	6	4	4	5	4	4	4	4	4	4
bin hire mitcham		-	-	5	6	9	10	8	7	8	7	9	11	10	10	9	9	9	6	5	5	9	7	9	10	9	9	9	9	9	8	8	7	8	6	6	6	7	8	9
bin hire monbulk		2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	3	3	1	2	2	3	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4
bin hire montrose		-	-	6	5	9	8	6	6	7	8	8	8	8	7	7	7	7	6	3	6	7	6	6	6	7	6	7	3	6	6	5	6	7	6	8	5	5	5	6
bin hire mooroolbark		-	-	4	4	3	3	-	3	5	4	4	6	6	6	5	5	5	4	4	4	5	5	5	5	4	4	5	3	3	3	3	3	3	3	4	3	5	3	5
bin hire ringwood		-	-	8	5	4	6	4	5	6	5	5	10	9	8	8	10	12	10	11	10	11	10	9	9	8	8	8	9	9	9	7	10	11	9	8	9	10	-	11
bin hire rowville		-	-	6	3	6	-	4	-	5	5	5	6	6	7	5	7	7	4	3	2	5	3	4	3	4	4	5	4	3	3	3	4	4	4	4	4	4	4	6
bin hire surrey hills		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	3	3	2	3	3	3	3	3
bin hire the basin		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	4	2	2	2	3	3	3	2	2	2	2	2	2	2	2	2	2	3	3
bin hire vermont		-	5	4	5	5	4	5	4	6	22	24	38	34	29	27	34	35	7	7	7	9	7	6	8	8	5	4	4	4	2	2	3	5	3	4	3	2	10	2
