		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-04	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
demolition and removal sydney		3	3	2	2	2	3	1	3	3	3	5	6	4	3	1	1	1	4	1	3	2	2	4	3	1	3	2	1	2	2	2	2	2	1	1	1	1
demolition companies sydney		6	5	5	5	4	3	3	3	3	3	2	2	3	3	3	1	2	3	3	3	2	3	3	3	2	1	1	1	1	1	1	2	2	2	2	1	1
demolition contractors sydney		5	6	4	4	5	3	3	3	3	2	2	1	3	3	1	1	1	1	3	1	2	2	3	2	1	1	1	1	1	2	1	1	1	1	1	2	3
demolition costs sydney		19	21	23	18	17	17	20	18	19	19	19	21	28	30	31	31	36	40	35	44	24	24	23	25	28	34	27	34	68	38	39	25	26	-	36	34	29
demolition services sydney		5	5	5	5	4	3	1	3	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	1	1
demolition sydney		7	6	3	4	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
home demolition sydney		7	6	7	6	6	5	3	4	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1	2
house demolition sydney		7	6	5	5	5	5	5	2	3	4	2	2	2	3	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
site demolition sydney		8	8	6	7	5	1	2	3	1	4	2	3	3	3	4	4	4	4	4	4	3	5	5	4	4	4	4	4	5	4	4	4	4	5	5	4	5
demolition bankstown		3	4	4	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	4	3	3	4	4	5	3	3	3	3	3
demolition beverly hills		1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
demolition canterbury		65	5	2	3	4	5	3	4	4	4	2	2	2	1	1	13	1	1	1	2	2	1	1	2	12	2	1	1	1	1	1	1	1	1	2	1	1
demolition companies liverpool		2	2	2	2	13	2	2	2	1	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	3	3	5	2	2	2	2
demolition company earlwood		3	3	2	3	2	2	2	2	2	1	2	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1
demolition company revesby		2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1
demolition contractors croydon		4	2	2	2	1	1	1	2	1	2	2	1	1	2	3	3	3	4	4	3	1	2	3	2	4	2	2	1	2	2	2	3	4	2	2	2	2
demolition contractors revesby		2	3	2	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1
demolition padstow		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
demolition panania		3	3	3	4	4	3	1	2	1	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	3	3	3	3	1	2	1	1	1	2	2
demolition riverwood		2	2	2	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2
demolition services croydon		3	3	3	2	2	1	1	1	1	1	1	1	1	2	5	5	4	2	1	1	2	2	3	3	3	3	3	2	2	2	3	4	2	2	1	4	2
demolition services panania		3	3	3	4	4	4	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
demolition services revesby		2	2	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1
demolition services strathfield		5	6	4	3	3	3	3	4	3	2	2	2	3	3	3	2	2	3	2	2	2	2	3	3	1	2	1	1	1	1	1	2	1	1	1	1	1
demolition yagoona		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	2	1	2	3	2	4
house demolition bankstown		4	4	3	3	4	3	3	2	2	1	2	1	2	2	1	1	1	1	3	2	1	3	2	3	3	3	3	3	3	4	4	4	2	2	2	2	3
house demolition beverly hills		1	2	1	2	3	2	3	1	2	1	1	1	1	1	1	1	16	18	2	1	2	14	1	1	1	1	1	1	14	11	9	21	15	16	9	1	1
house demolition como		3	2	2	5	3	3	3	2	1	1	2	2	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1
house demolition croydon park		1	3	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	2	2	2	2	2	2	2	3	2	1	1	1	1	1	1	1	1
house demolition oatley		4	3	3	3	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
house demolition padstow		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
house demolition sutherland		5	5	3	7	5	3	4	4	3	3	4	4	3	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
demolition caringbah		-	-	-	-	-	4	2	2	2	2	2	2	2	2	2	2	3	3	2	2	3	2	3	4	4	2	2	3	2	2	2	2	2	2	1	1	1
demolition carlingford		-	-	-	-	-	5	5	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	2	2	2	2
demolition chatswood		-	-	-	-	-	4	2	1	1	1	1	1	1	1	1	1	1	3	2	3	2	3	2	3	1	2	2	1	1	1	1	2	1	1	2	1	1
demolition concord		-	-	-	-	-	5	6	3	5	5	4	4	4	4	3	4	4	3	4	7	3	3	4	3	3	3	3	3	3	3	3	5	6	10	8	7	6
demolition dee why		-	-	-	-	-	1	2	3	1	1	1	1	1	1	1	2	2	2	3	3	2	3	3	5	3	4	3	3	2	3	3	4	4	2	2	1	1
demolition epping		-	-	-	-	-	4	5	4	5	5	5	6	6	5	3	1	58	4	4	3	3	1	1	1	1	1	2	2	3	4	4	4	3	1	3	1	5
demolition gymea		-	-	-	-	-	3	1	2	2	2	3	2	1	2	2	2	2	5	2	3	3	2	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1
demolition manly		-	-	-	-	-	-	1	-	-	1	2	3	67	57	60	56	67	56	2	3	3	3	4	4	3	4	3	-	63	76	72	67	80	79	5	4	2
demolition merrylands		-	-	-	-	-	4	2	4	3	3	3	4	2	2	3	3	5	3	4	4	4	3	3	3	3	3	3	3	2	2	2	3	3	3	3	2	3
demolition northern beaches		-	-	-	-	-	86	89	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	5	7	5	8	7	8	18	14	11
demolition parramatta		-	-	-	-	-	-	78	-	86	-	-	-	-	3	2	2	2	3	-	-	-	4	-	-	90	-	-	-	-	-	-	-	-	-	-	-	-
demolition pymble		-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	2	2
demolition ryde		-	-	-	-	-	7	6	8	6	6	7	7	4	6	6	4	5	5	4	5	3	4	4	5	4	4	3	4	5	5	7	7	3	4	5	5	6
demolition sutherland shire		-	-	-	-	7	6	5	6	6	5	5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	2	2	2	3
demolition wentworthville		-	-	-	-	-	2	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	2	2	2	2	2
