		2024-08-02	2024-09-20	2024-10-03	2024-10-07	2024-10-09	2024-10-14	2024-11-14	2024-12-03
blocked drains ashburton		9	7	9	8	13	9	8	10
blocked drains balwyn		9	4	4	9	3	4	8	15
blocked drains box hill		11	15	25	17	23	15	10	11
blocked drains burwood		17	21	35	18	22	23	22	-
blocked drains camberwell		2	2	35	4	33	4	8	13
blocked drains chadstone		6	3	7	9	6	3	6	8
blocked drains clayton		16	14	19	42	12	11	25	30
blocked drains cremorne		2	2	6	12	5	4	2	3
blocked drains doncaster		16	10	14	14	13	12	27	26
blocked drains fitzroy		11	16	19	12	14	16	14	16
blocked drains glen iris		12	9	23	22	11	10	30	28
blocked drains glen waverley		20	19	27	25	26	26	27	30
blocked drains hawthorn		13	9	11	10	11	11	9	11
blocked drains kew		12	15	17	12	26	17	15	17
blocked drains malvern		8	12	14	14	7	13	20	22
blocked drains northcote		6	11	11	13	26	18	20	21
blocked drains oakleigh		12	12	17	21	19	13	8	16
blocked drains richmond		17	24	28	24	23	26	29	26
blocked toilet ashburton		4	6	8	7	7	6	17	19
blocked toilet balwyn		3	2	3	2	2	4	3	4
blocked toilet box hill		5	9	9	13	11	9	9	10
blocked toilet burwood		11	5	5	17	10	13	19	21
blocked toilet camberwell		2	4	14	6	5	3	5	4
blocked toilet chadstone		2	2	4	4	4	3	4	5
blocked toilet clayton		6	9	17	7	14	15	23	22
blocked toilet cremorne		2	1	1	1	1	1	1	1
blocked toilet doncaster		4	3	10	27	3	3	4	10
blocked toilet fitzroy		2	7	8	7	12	12	12	14
blocked toilet glen iris		3	10	11	10	12	9	11	14
blocked toilet glen waverley		9	8	16	12	12	15	15	21
blocked toilet hawthorn		4	8	14	10	12	10	9	12
blocked toilet kew		9	19	17	25	18	13	18	23
blocked toilet malvern		2	2	2	5	3	3	4	7
blocked toilet northcote		5	6	11	10	10	10	10	12
blocked toilet oakleigh		4	10	16	10	10	7	6	9
blocked toilet richmond		4	3	4	17	15	5	35	26
drainage plumber ashburton		5	6	10	24	27	18	34	33
drainage plumber balwyn		23	31	26	24	20	28	35	41
drainage plumber box hill		22	5	12	3	16	15	14	26
drainage plumber burwood		26	35	39	43	43	42	40	43
drainage plumber camberwell		19	25	33	38	42	30	38	33
drainage plumber chadstone		4	2	2	14	6	14	9	19
drainage plumber clayton		11	17	28	27	22	40	47	50
drainage plumber cremorne		12	15	19	14	17	16	10	12
drainage plumber doncaster		10	20	32	33	20	21	21	27
drainage plumber fitzroy		9	14	32	36	27	25	26	29
drainage plumber glen iris		22	23	28	31	42	37	36	41
drainage plumber glen waverley		26	30	41	36	36	34	38	31
drainage plumber hawthorn		12	24	31	36	32	36	33	40
drainage plumber kew		15	34	41	42	42	41	20	23
drainage plumber malvern		13	29	39	36	36	35	32	30
drainage plumber northcote		20	29	33	35	35	34	34	36
drainage plumber oakleigh		13	31	37	38	28	28	32	37
drainage plumber richmond		28	30	-	34	32	35	34	35
drain relining ashburton		1	1	9	5	5	4	6	11
drain relining balwyn		1	2	3	2	2	2	6	5
drain relining box hill		2	3	3	4	4	4	5	6
drain relining burwood		3	5	11	10	7	6	-	2
drain relining camberwell		3	3	13	6	6	8	6	8
drain relining chadstone		1	1	1	1	1	1	2	2
drain relining clayton		4	6	5	11	6	5	10	8
drain relining cremorne		4	1	6	2	3	5	2	3
drain relining doncaster		1	3	14	-	5	6	8	11
drain relining fitzroy		3	3	5	3	3	3	3	3
drain relining glen iris		3	3	6	7	6	9	8	8
drain relining glen waverley		2	1	2	8	4	4	8	4
drain relining hawthorn		4	4	7	13	10	10	5	5
drain relining kew		4	5	11	12	13	17	11	12
drain relining malvern		3	7	20	14	13	19	14	18
drain relining northcote		2	4	9	6	5	6	5	6
drain relining oakleigh		2	3	3	1	6	7	5	7
drain relining richmond		11	12	12	16	15	13	5	8
blocked drain plumber melbourne		30	50	37	36	36	38	75	72
drain relining melbourne		45	42	47	45	49	77	39	42
blocked toilet melbourne		54	76	76	74	56	73	62	90
emergency blocked drain service melbourne		81	-	72	71	72	67	41	81
