		2022-08-19	2022-09-16	2022-10-13	2022-11-17	2022-12-06	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-09-06	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Accommodation Swansea		8	6	6	4	5	6	6	10	9	11	9	8	9	9	12	11	12	14	10	11	9	10	10	5	6
Accommodation Swansea Tasmania		6	6	6	5	5	5	6	6	9	-	7	8	9	9	9	9	9	10	7	4	9	9	4	5	6
Lodges Swansea		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cottages Swansea		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chalets Swansea		15	9	11	5	6	10	9	10	15	19	9	9	10	11	9	5	8	11	8	6	6	6	4	8	7
Cabins Swansea		5	4	5	2	2	3	3	4	4	6	3	4	5	5	5	5	4	4	4	17	5	4	4	4	4
Hotels Swansea		17	16	15	-	13	9	10	13	12	15	12	14	10	14	15	13	18	46	55	50	46	47	44	34	43
Motels Swansea		20	16	16	13	14	14	13	14	11	10	-	17	-	-	-	-	40	26	20	24	22	42	14	20	19
Swansea Holiday Cottages		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56	1	1
Swansea Holiday Accommodation		4	6	7	3	4	4	4	4	3	5	3	3	4	4	5	6	5	2	2	1	2	2	2	47	1
Accommodation Piermont		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Hotels Piermont		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Accommodation Freycinet National Park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Hotels Freycinet National Park		-	-	-	-	-	-	91	-	88	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Accommodation Coles bay		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Hotels Coles bay		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Accommodation Kates Berry Farm		39	39	36	31	32	30	29	32	26	21	24	18	13	21	28	30	11	36	28	34	58	20	26	30	30
Hotels Kates Berry Farm		-	-	-	31	29	33	30	34	25	19	27	24	24	25	24	29	29	-	-	-	-	-	-	-	-
Accommodation Wineglass Bay		-	-	-	-	-	84	-	-	-	-	-	-	61	-	89	92	-	-	-	-	-	-	-	-	-
Hotels Wineglass Bay		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
