		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2023-05-22	2023-06-15	2023-07-12	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-19	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Plumber Echuca		3	4	5	4	5	5	5	6	6	6	5	5	5	9	8	10	8	8	5	8	8	7	8	9	9	10	11	10	12	13	16	16
Blocked Drains Rochester		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	1	1	2	1	1	3	3	7	4	2
Blocked Drains Plumber Echuca		1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1	1	4	3	3	4	4	6	4
Blocked Drains Plumber Moama		1	1	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	5	5
Blocked Drains Plumber Rochester		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	3	2	3	4	4	4	2
Hot Water Repairs Echuca		3	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	4	2	3	2	2	3	3	3	3	3	3	3	2	7	3
Hot Water Repairs Moama		2	1	1	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	5	9	10	9	10
Hot Water Repairs Rochester		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1
Hot Water Services Echuca		7	7	7	7	7	6	7	5	5	4	4	4	3	6	5	4	7	5	5	5	5	4	4	4	4	5	4	7	4	4	7	7
Hot Water Services Moama		4	4	3	7	4	2	4	5	4	6	5	4	7	3	3	3	3	3	2	2	3	3	10	11	5	4	4	9	12	-	-	9
Hot Water Services Rochester		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	3	3	2	1	2	2	2	2	2
Plumber Moama		11	9	8	9	8	9	9	9	8	8	7	7	6	10	10	9	8	8	10	12	12	12	12	10	9	9	7	7	12	10	18	21
Plumber Rochester		6	9	16	12	11	20	12	7	9	-	5	8	6	12	9	11	-	9	10	9	11	10	9	7	7	9	10	12	13	12	13	13
Blocked Drains Echuca		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	6	2	2	2
Blocked Drains Moama		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
