		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-03	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-12	2023-10-20	2023-11-17	2023-12-14	2024-01-17	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-06	2024-08-12	2024-09-20	2024-10-18	2024-11-14
sash window repair		3	3	3	3	3	3	3	3	3	4	3	3	3	3	8	8	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1
Sash Window Repairs Sydney		3	3	3	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
Sash Window Restoration Sydney		4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	2	1	1	1	2	1	1	1	1	1	1	3	3	3	3	2	2	2
Sash Window Replacement		3	3	2	2	2	2	2	2	3	2	2	2	2	3	6	7	2	2	2	1	2	1	1	2	2	3	2	2	1	1	1	1	2	2	2	2	2	2
Sash Window Replacement Sydney		4	3	3	3	1	2	2	2	1	1	3	3	3	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
sash window restoration		5	7	4	3	2	3	3	5	5	-	3	4	5	3	8	9	2	3	3	2	2	2	2	2	3	2	3	3	5	2	2	2	5	4	5	4	3	2
Heritage Window Repair		4	5	3	3	3	2	2	2	2	2	3	3	3	5	5	5	3	3	3	3	3	3	3	3	2	3	2	2	2	2	2	2	2	3	4	3	3	3
Heritage Window Restoration		10	9	8	8	8	5	6	6	6	6	6	6	8	7	7	8	6	6	7	6	7	8	7	6	4	3	3	3	4	3	5	6	5	6	6	6	5	6
Sash Cord Repairs		2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1
Window Sash Cord Repair		13	16	7	4	7	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	-	1	2	1	1	1	1	2	2	1	2	3	3	3	3	3	3
Sash Cord Replacement		9	10	9	8	7	3	5	5	3	2	3	3	2	4	1	2	3	2	3	2	3	3	4	4	3	3	3	3	3	3	4	5	4	4	6	4	7	5
Sash Cord Replacement Sydney		5	3	3	1	1	1	1	1	1	1	1	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Spiral Window Balances		15	15	8	13	7	7	8	8	8	9	6	8	7	7	8	9	11	12	11	11	14	11	9	13	15	20	20	19	14	14	18	16	19	14	14	8	12	16
Spiral Balance Replacement		10	8	6	5	5	3	5	4	5	4	4	5	5	4	6	6	5	5	4	5	3	4	5	4	4	5	5	6	3	3	3	5	7	6	6	3	4	2
Timber Window Repair		21	35	15	8	7	7	7	6	5	3	3	3	3	3	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	3	3	3	3
Timber Sash Window Repairs		4	4	4	3	3	3	2	3	3	3	3	3	3	3	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	3	2
Aluminium Window Repair		15	22	19	16	18	10	14	14	6	8	5	4	3	4	1	3	4	3	5	4	4	4	3	3	6	3	3	3	3	2	3	2	2	2	2	2	-	2
Aluminium Sash Window Repairs		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sash Window Repair Northern Beaches		7	5	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sash Window Repair Castle Hill		-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sash Window Repairs Coogee		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sash Window Repairs Roseville		7	7	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sash Window Repairs Killara		4	4	4	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	1	2	2
Double Hung Window Repair		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	2	-	1	1	1	1	1	1	1	2	2	2	1	1	1	1	-	2
Double Hung Window Repair Sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sash Window Repair Bondi		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1	1	1
Sash Window Repair Marrickville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	1	1	1
Sash Window Repair Petersham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	1	1	1
Sash Window Repair Dulwich Hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	1	1	1
Sash Window Repair Newtown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1	1	1
Sash Window Repair Paddington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	2
Sash Window Repair Bellevue Hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	1	1	1
Sash Window Repair Vaucluse		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	1	1	1
Sash Window Repair Ashfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	1	1	1
Sash Window Repair Earlwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	1	1	1
Sash Window Repair Mosman		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	3	3	3
Sash Window Repair Chatswood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1
Sash Window Repair Manly		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1
Sash Window Repair Lane Cove		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	1	1	1
Sash Window Repair Artarmon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	1	1	1
Sash Window Repair Beecroft		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	1	1	1
Sash Window Repair Epping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	1	1	2
Sash Window Repair Pymble		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	2	2
Sash Window Repair Turramurra		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	1	1	1
Sash Window Repair Eastwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1
