		2023-07-05	2023-07-22	2023-08-17	2023-09-06	2023-09-20	2023-09-25	2023-10-02	2023-10-24	2023-11-17	2023-12-14	2024-01-19	2024-02-14	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-07-26	2024-08-16	2024-09-20	2024-10-18	2024-11-14
air conditioning brighton		-	-	58	13	18	17	17	17	17	20	20	14	19	8	23	17	18	17	12	11	7	20
air conditioning brunswick		-	-	11	12	12	11	11	12	11	11	11	11	9	11	13	7	6	7	9	6	6	6
air conditioning camberwell		-	-	17	12	14	14	12	12	10	11	11	10	11	11	11	13	12	11	10	9	10	10
air conditioning carrum downs		-	-	16	14	16	16	16	15	8	12	13	12	13	14	14	11	12	9	11	12	14	13
air conditioning cheltenham		-	-	40	13	12	11	12	12	6	6	6	14	12	11	13	14	18	15	11	10	10	15
air conditioning clayton		-	-	66	10	12	12	12	10	9	11	13	12	9	9	11	10	10	8	9	9	9	14
air conditioning cranbourne		-	-	45	16	16	17	16	17	14	23	22	22	21	18	20	14	13	12	25	32	28	15
air conditioning ringwood		-	-	51	17	17	15	19	17	14	17	17	19	19	13	13	12	13	11	13	13	16	16
air conditioning dandenong		-	-	19	18	19	19	18	19	16	13	16	10	10	9	7	8	9	9	12	8	10	10
air conditioning doncaster		-	-	13	12	12	11	11	11	11	10	11	12	14	12	12	10	10	8	7	12	13	16
air conditioning frankston		50	57	56	14	18	19	-	18	16	16	20	20	20	20	22	19	20	19	18	16	14	14
air conditioning hawthorn		-	-	38	15	18	17	17	16	16	16	13	13	15	12	14	7	3	3	3	3	4	4
air conditioning keysborough		-	-	12	11	12	12	11	11	8	7	8	10	8	5	6	6	4	4	5	13	8	8
air conditioning mornington		74	83	33	24	21	21	21	23	22	18	21	19	20	22	22	17	20	20	19	19	20	21
air conditioning mulgrave		-	-	10	10	10	11	9	6	5	6	8	10	13	11	12	9	7	6	5	12	15	12
air conditioning northcote		-	-	9	8	8	8	8	7	7	6	5	5	7	8	6	6	6	6	6	5	5	6
air conditioning richmond		-	-	60	26	14	14	14	14	14	13	13	11	14	11	12	12	12	11	9	8	6	12
air conditioning rowville		-	-	56	12	15	15	15	14	11	12	14	15	12	16	18	17	17	14	9	7	9	9
air conditioning springvale		-	-	19	9	9	9	9	8	8	8	8	7	7	5	6	5	5	5	5	6	4	4
air conditioning st kilda		-	-	30	10	13	13	12	11	9	9	4	6	6	3	3	3	3	3	3	3	4	4
heating and cooling brighton		-	-	9	9	9	10	10	8	9	10	8	8	8	8	8	8	9	8	3	6	5	8
heating and cooling brunswick		-	-	15	7	9	9	10	6	4	5	5	5	5	4	4	4	4	3	4	4	4	5
heating and cooling camberwell		-	-	13	11	12	14	15	15	10	14	11	11	11	12	11	7	8	7	7	7	9	10
heating and cooling carrum downs		33	-	18	17	20	19	17	17	16	16	18	16	18	10	9	11	9	9	10	11	12	18
heating and cooling cheltenham		-	-	8	9	9	11	9	8	5	6	7	7	6	6	6	2	3	3	3	2	15	19
heating and cooling clayton		-	-	25	11	11	10	11	8	12	9	9	9	8	6	4	4	4	4	4	5	4	12
heating and cooling cranbourne		-	-	16	18	16	16	16	18	18	18	18	21	18	27	15	15	13	13	20	16	14	12
heating and cooling ringwood		-	-	20	16	18	17	15	16	13	15	19	18	15	15	15	17	17	18	14	11	18	17
heating and cooling dandenong		64	-	18	15	17	17	17	17	14	11	11	13	12	12	11	10	11	9	9	9	11	10
heating and cooling doncaster		-	-	20	17	17	19	18	16	11	12	12	13	11	8	10	7	7	6	12	3	6	5
heating and cooling frankston		26	30	21	20	22	22	22	22	20	23	21	24	21	18	22	18	18	19	18	17	16	21
heating and cooling hawthorn		-	-	8	8	9	9	9	9	7	7	7	9	7	6	8	4	6	3	6	6	8	7
heating and cooling keysborough		-	-	12	9	13	11	9	11	9	6	6	6	5	5	3	4	2	2	2	2	2	4
heating and cooling mornington		36	32	21	18	20	18	17	19	16	20	24	19	23	25	25	19	22	22	24	22	22	19
heating and cooling mulgrave		-	-	9	9	10	10	9	7	7	7	6	8	7	5	6	7	4	3	3	6	7	9
heating and cooling northcote		-	-	9	10	8	8	9	8	6	8	7	8	10	10	9	2	3	2	4	5	8	6
heating and cooling richmond		-	-	-	4	5	5	6	6	5	9	11	10	12	10	10	11	9	9	10	8	6	14
heating and cooling rowville		-	-	17	16	16	15	15	16	11	12	15	16	11	11	11	9	10	8	9	7	6	10
heating and cooling springvale		24	-	9	7	8	8	7	5	3	3	5	5	5	6	6	2	4	3	2	4	3	6
heating and cooling st kilda		-	-	8	8	10	9	9	9	8	10	4	4	6	5	6	5	1	1	5	6	3	3
split systems brighton		-	-	15	12	6	6	6	4	5	2	3	4	1	3	6	4	2	1	5	5	5	5
split systems brunswick		-	-	7	5	6	6	6	5	4	4	2	2	3	3	2	3	3	3	2	3	4	3
split systems camberwell		-	-	7	5	7	7	7	8	6	7	6	6	1	7	1	1	1	1	6	1	3	9
split systems carrum downs		-	-	12	6	10	9	7	8	6	8	9	9	9	8	8	7	6	8	5	5	13	16
split systems cheltenham		-	-	4	3	4	4	3	3	3	3	3	3	3	3	1	3	2	2	2	6	5	5
split systems clayton		-	-	2	1	1	2	2	2	2	2	2	1	2	1	2	3	3	3	2	2	2	3
split systems cranbourne		-	-	9	9	12	12	12	10	11	12	12	13	8	7	9	8	8	8	8	12	10	16
split systems ringwood		-	-	4	4	7	7	6	6	6	5	5	4	3	3	3	3	3	3	4	3	4	5
split systems dandenong		-	-	14	6	10	10	10	3	3	3	4	4	3	2	3	2	2	2	2	1	1	3
split systems doncaster		-	-	4	4	6	6	6	4	6	4	4	1	1	1	4	2	1	1	2	3	6	6
split systems frankston		23	41	7	6	6	6	6	6	5	6	6	6	5	6	5	3	3	3	4	3	4	7
split systems hawthorn		-	-	13	2	7	7	7	5	1	1	1	1	3	2	2	1	1	1	2	2	2	3
split systems keysborough		21	-	6	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2
split systems mornington		60	-	5	5	9	8	10	9	10	8	14	15	14	12	10	9	7	7	9	9	8	13
split systems mulgrave		-	-	2	1	1	1	2	2	3	3	3	1	3	3	3	3	2	2	2	3	7	10
split systems northcote		-	-	9	4	4	4	3	3	2	3	4	1	4	1	1	3	3	3	4	4	5	7
