		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-07	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-15	2024-08-05	2024-09-20	2024-10-18	2024-11-14
kitchen renovations melbourne		27	20	27	20	19	19	17	22	26	50	42	38	36	33	26	29	33	26	23	27	52	43	51	51	56	60	37	68	74	88	86	-	66	64	-	71	71
kitchen makeovers melbourne		40	26	25	21	21	26	14	14	23	23	22	25	25	19	75	79	45	44	42	39	66	69	78	75	63	76	92	66	68	66	73	64	69	57	71	49	-
kitchen designs melbourne		58	32	48	69	27	42	37	24	31	42	44	44	46	52	48	50	38	42	38	16	62	37	21	23	29	34	32	35	50	47	44	37	38	50	49	55	55
bathroom renovations melbourne		80	65	45	42	28	30	37	31	89	-	-	-	94	92	98	83	60	76	63	71	60	52	53	70	39	39	40	40	70	72	71	71	85	87	92	-	86
bathroom designers melbourne		23	14	23	19	17	14	15	13	15	17	16	19	18	18	15	26	19	16	17	17	19	18	17	19	19	19	20	18	32	36	34	32	39	39	34	50	40
kitchen renovations altona		3	3	3	3	2	2	2	2	2	3	2	2	3	2	3	3	4	4	3	4	3	3	3	2	2	2	2	2	2	2	1	2	2	3	3	2	2
kitchen renovations caroline springs		3	4	6	3	3	5	3	3	3	3	3	3	4	3	3	4	3	4	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	2	1	2
kitchen renovations sydenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1
kitchen renovations footscray		4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	1	2	1	3	3	2	2	3	3	3	-	4	2	2	2	2
kitchen renovations hoppers crossing		4	2	4	3	4	2	3	3	3	4	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
kitchen renovations melton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen renovations avondale heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen renovations sunshine		13	10	8	10	28	34	40	17	6	6	5	5	3	3	2	5	4	4	4	4	4	2	4	5	2	2	2	2	2	2	2	1	2	3	2	1	1
kitchen renovations werribee		3	2	2	1	1	1	1	3	2	1	1	1	1	1	2	2	2	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2
kitchen renovations western suburbs melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
bathroom renovations altona		3	2	1	2	2	2	3	2	3	5	4	3	3	-	1	2	2	1	1	4	2	5	3	5	5	5	4	4	4	4	3	3	3	4	5	7	3
bathroom renovations caroline springs		5	5	6	5	2	3	5	3	3	1	1	1	1	1	1	1	2	1	1	2	2	2	2	3	5	5	7	6	7	8	8	6	10	8	6	4	3
bathroom renovations sydenham		1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	1	1	2
bathroom renovations footscray		8	10	8	6	6	6	7	6	7	5	4	4	4	4	2	3	4	4	5	6	5	3	3	4	3	4	3	5	3	5	5	5	5	4	4	8	8
bathroom renovations hoppers crossing		6	2	3	4	4	2	2	2	2	2	1	1	2	2	2	8	6	8	7	7	8	7	8	7	5	6	7	9	8	8	6	9	9	11	11	7	6
bathroom renovations melton		2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2
bathroom renovations avondale heights		3	3	3	3	2	2	2	2	2	3	2	3	3	4	4	5	4	6	4	5	6	5	6	3	2	1	2	2	1	2	1	2	2	2	1	1	1
bathroom renovations sunshine		3	3	5	3	3	4	4	3	4	4	3	2	2	3	1	2	2	2	5	5	5	2	6	6	2	2	2	2	4	3	2	2	3	3	5	5	4
bathroom renovations werribee		2	6	3	2	4	2	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	3	3
bathroom renovations western suburbs melbourne		5	2	2	3	2	2	1	2	3	3	1	2	2	9	8	7	7	6	7	8	7	7	10	10	10	6	7	7	4	7	8	5	6	8	14	14	19
kitchen and bathroom designs altona		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs caroline springs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs sydenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs footscray		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
kitchen and bathroom designs hoppers crossing		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs melton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs avondale heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs sunshine		1	1	1	1	3	1	1	2	2	2	1	1	3	2	2	2	2	1	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
kitchen and bathroom designs werribee		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen and bathroom designs western suburbs melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kitchen renovations moonee ponds		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	6	7
