		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-11	2022-04-22	2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2023-09-18	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
buy contact lenses hobart		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses hobart		1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
contact lenses online		57	58	70	60	50	43	45	35	30	30	15	33	29	49	53	-	-	-	-	-	-	-	-	-	76	83	71	66
eye check up hobart		7	7	6	3	3	3	3	3	2	3	3	3	3	2	3	5	3	3	2	3	2	4	2	2	4	3	2	2
eye doctor tasmania hobart		13	13	10	9	10	8	6	9	6	6	6	8	7	7	8	9	8	9	8	6	8	9	11	12	11	9	7	7
eye exam hobart		6	7	5	6	4	3	3	2	1	2	3	3	2	4	4	4	4	3	3	4	3	3	3	3	4	4	3	3
glasses online hobart		1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glasses store hobart		6	6	5	6	6	5	4	2	4	4	4	4	4	3	2	2	2	3	2	3	3	3	3	4	3	2	2	4
kids eye exam hobart		6	7	4	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	2	3	3	1	1	1	1
optometrist hobart		2	3	1	1	1	1	1	1	1	1	1	1	1	3	2	2	2	2	2	3	2	2	1	1	3	1	1	1
prescription glasses online		31	18	22	47	50	41	62	40	21	30	22	31	38	49	39	50	52	68	77	70	-	90	-	-	-	91	87	74
Tasmanian prescription glasses stores		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
eye care Claremont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care Hobart		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care Howrah		1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care Huonville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care Kingston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care New Norfolk		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care Sandy Bay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye care Sorell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye clinic Hobart		20	34	19	20	20	16	19	17	14	14	15	14	12	34	9	10	12	10	10	10	37	36	28	35	38	30	20	22
eye clinic Howrah		1	1	1	1	1	27	31	27	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	14	1
eye clinic Kingston		81	95	61	61	82	33	11	10	9	50	46	16	32	3	11	10	3	3	3	3	2	3	2	4	3	7	8	2
eye clinic Sorell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye doctor Claremont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye doctor Hobart		11	11	10	8	9	9	7	10	8	9	9	8	7	7	9	9	7	7	6	5	5	5	7	11	6	4	4	5
eye doctor Howrah		1	1	1	1	1	3	2	3	1	10	22	19	3	1	1	1	1	1	1	1	1	1	1	1	1	1	10	1
eye doctor Huonville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye doctor Kingston		5	3	3	3	4	3	3	2	2	3	3	3	4	1	1	1	2	2	1	1	2	1	3	2	1	1	1	1
eye doctor Sandy Bay		3	3	3	2	3	2	2	2	1	2	1	2	2	2	3	3	3	2	3	3	3	3	4	3	3	3	3	3
eye doctor Sorell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test Claremont		5	2	5	3	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test Hobart		8	7	6	6	6	5	4	2	2	3	5	5	5	6	6	6	4	4	4	4	2	4	4	5	5	6	7	6
eye test Howrah		1	1	1	1	1	1	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test Huonville		2	3	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test Kingston		5	3	4	4	4	3	2	2	2	2	1	2	2	5	4	4	5	2	2	2	2	2	2	2	2	2	2	2
eye test New Norfolk		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test Sandy Bay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
eye test Sorell		3	3	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
local optometrist Claremont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6	1
local optometrist Hobart		2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
local optometrist Howrah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
local optometrist Huonville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
local optometrist Kingston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
local optometrist New Norfolk		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
local optometrist Sandy Bay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
local optometrist Sorell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
prescription glasses Hobart		3	5	3	1	1	2	2	3	2	3	1	1	1	1	1	1	1	3	2	1	2	1	1	2	1	2	1	1
prescription glasses Howrah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prescription glasses Sandy Bay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prescription lenses Hobart		5	5	4	1	1	4	2	2	2	3	1	3	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1
prescription lenses Howrah		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prescription lenses Kingston		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
prescription lenses Sandy Bay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ortho k lenses hobart		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dry eyes hobart		35	44	19	19	31	15	15	28	14	20	22	28	19	25	9	10	7	10	7	33	30	27	24	28	22	39	47	35
myopia control hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	99	-	30	3	37	3	4	5	5	5
childrens optometrist hobart		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	2	2	2
