		2021-11-18	2021-12-09	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-08-30	2022-09-07	2022-10-14	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-12	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Roof Repairs Frankston		8	9	9	11	8	9	8	6	6	6	6	6	6	6	6	3	3	3	2	4	3	2	1	3	2	2	3	2	1	2	1	2	3	3	3	7	7	5
Roof Repairs Cranbourne		7	9	8	10	10	8	13	8	8	9	10	9	9	8	9	12	12	8	8	8	8	7	6	6	6	7	7	4	4	9	9	10	9	9	11	14	12	11
Roof Repairs Berwick		10	12	13	11	9	10	10	9	9	11	10	10	12	11	12	10	11	11	10	9	10	10	7	4	9	6	6	5	5	5	5	6	5	4	4	6	5	4
Roof Repairs Narre Warren		14	16	12	18	17	20	23	17	15	14	15	16	19	14	10	10	9	8	8	8	7	5	5	5	6	6	5	4	5	4	4	5	5	4	5	5	6	7
Roof Repairs Mornington Peninsula		3	5	4	2	2	2	3	2	2	2	2	2	2	2	3	2	2	1	1	2	2	1	1	2	2	2	2	2	2	2	2	1	1	1	3	2	5	4
Roof Restoration Frankston		8	8	8	10	10	9	8	8	8	9	8	8	8	8	7	6	4	6	5	5	6	5	2	5	3	3	3	3	2	2	2	2	4	5	5	8	8	4
Roof Restoration Cranbourne		8	9	9	12	11	-	14	13	13	14	13	12	11	11	13	13	14	7	6	6	5	5	2	5	5	5	6	4	5	8	8	10	7	7	13	23	21	14
Roof Restoration Berwick		11	11	12	12	12	14	12	12	11	11	11	12	14	12	12	9	12	11	9	6	8	9	5	3	5	3	4	4	4	4	4	5	5	4	5	4	4	4
Roof Restoration Narre Warren		19	21	14	18	18	27	31	24	28	31	21	22	23	20	17	11	12	10	10	7	6	5	5	5	5	5	5	2	2	3	2	2	4	4	6	5	3	5
Roof Restoration Mornington Peninsula		3	4	3	4	3	3	3	3	2	3	2	2	3	3	3	3	3	2	2	3	3	3	1	2	3	2	3	3	2	3	3	3	3	3	4	3	6	6
Guttering Frankston		8	10	10	11	9	8	9	9	9	9	9	9	13	14	15	14	12	13	13	13	10	10	11	11	14	9	9	9	9	9	8	9	11	9	12	14	14	12
Guttering Cranbourne		15	19	17	15	13	14	15	14	11	17	10	11	13	10	13	15	12	15	12	11	14	13	13	13	12	12	11	9	11	12	13	14	13	13	12	13	18	11
Guttering Berwick		9	10	10	10	9	9	9	5	5	6	4	4	6	6	5	3	4	2	2	2	2	2	2	3	2	3	2	2	2	6	11	13	12	11	23	9	10	10
Guttering Narre Warren		14	20	15	12	12	11	11	11	10	14	11	10	11	12	9	9	7	8	8	8	5	6	5	11	11	9	7	8	6	7	10	10	14	17	10	9	10	11
Guttering Mornington Peninsula		17	23	20	21	14	12	13	12	14	13	13	12	14	15	15	10	12	11	11	14	22	18	9	9	11	13	12	8	8	9	8	8	9	8	7	9	8	5
Roof Repairs Tooradin		-	-	3	3	3	3	3	3	3	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Roof Restoration Tooradin		-	-	2	3	2	3	3	3	3	3	3	4	3	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Guttering Tooradin		-	-	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	3	2	5	2	2	1	1	1	1	1	1	2	2	5	1	2	2
Roof Repairs Koo Wee Rup		-	-	-	-	-	-	-	-	-	-	-	-	4	4	3	4	4	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Roof Restoration Koo Wee Rup		-	-	-	-	-	-	-	-	-	-	-	-	6	5	6	5	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Guttering Koo Wee Rup		-	-	-	-	-	-	-	-	-	-	-	-	4	1	3	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1
Roof Repairs Gembrook		-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Roof Restoration Gembrook		-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Guttering Gembrook		-	-	-	-	-	-	-	-	-	-	-	-	6	6	6	5	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	2	2	2	1
Roof Repairs Cockatoo		-	-	-	-	-	-	-	-	-	-	-	-	6	5	5	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Roof Restoration Cockatoo		-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Guttering Cockatoo		-	-	-	-	-	-	-	-	-	-	-	-	6	5	6	4	4	4	3	3	3	5	2	3	2	1	2	2	2	2	1	1	1	1	1	2	3	2
