		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-11-30	2022-12-15	2023-01-10	2023-02-01	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-11	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
air conditioning balwyn		17	9	4	3	6	6	6	5	5	5	7	8	3	4	4	6	10	10	9	9	9	4	5	4	4	4	4	5	5	9	10	8	8	10	8	6	7	13
air conditioning blackburn		-	-	29	28	26	25	25	24	23	14	19	19	16	17	18	13	18	23	29	24	25	19	17	13	13	15	15	13	15	15	14	12	10	10	15	13	16	18
air conditioning box hill		18	8	15	16	9	12	13	13	14	16	13	14	15	21	23	20	19	21	34	40	45	48	-	25	25	16	18	29	30	56	35	31	24	26	24	22	24	26
air conditioning bulleen		11	8	13	14	14	9	10	9	9	9	8	9	7	8	6	3	4	6	7	12	10	7	7	3	2	2	2	2	4	3	2	2	2	2	2	2	2	4
air conditioning burwood		-	-	42	41	45	31	32	10	10	11	15	17	16	15	13	11	13	28	28	25	26	24	27	9	15	10	13	14	20	20	19	20	27	23	23	22	20	14
air conditioning camberwell		15	12	12	11	13	11	11	11	10	11	10	10	8	10	8	8	10	13	12	14	15	9	8	6	6	5	6	9	8	15	19	16	12	15	18	17	15	19
air conditioning doncaster		21	17	50	10	12	15	11	8	12	10	16	16	15	16	14	12	15	19	24	35	21	26	10	10	8	7	6	6	6	6	5	6	5	5	10	5	20	6
air conditioning donvale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	19	11	9	11	12	8	9	14	17	15	17	16	15	18	16	17
air conditioning elthem		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	73	69	-	30	32	33	15	20	20	23	24	24	22	26	26	40	20	19	24
air conditioning hawthorn		16	12	12	8	9	9	10	6	7	7	10	8	8	8	10	7	9	17	16	13	19	20	14	9	10	8	9	16	15	16	20	12	15	18	15	19	26	20
air conditioning ivanhoe		10	10	9	8	8	7	7	7	6	6	9	7	5	7	7	8	8	14	13	15	17	15	13	7	8	3	3	4	3	3	4	2	3	3	3	6	5	9
air conditioning kew		10	9	9	7	9	8	9	8	7	8	9	10	10	12	12	10	10	14	14	17	11	17	15	7	8	7	8	15	10	18	23	19	17	19	18	14	15	17
air conditioning malvern		18	8	12	9	10	9	13	10	8	10	9	11	10	9	11	9	13	22	20	21	25	27	16	12	8	11	11	18	17	21	28	22	23	24	23	22	17	21
air conditioning mitcham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	-	52	25	29	23	16	15	16	15	19	24	22	17	19	34	21	21	29
air conditioning nunawading		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	50	26	12	12	12	14	14	17	20	22	17	16	15	16	21	19	18
air conditioning south yarra		13	9	9	11	11	9	12	10	8	9	10	9	9	9	9	5	6	12	12	14	13	12	13	7	10	10	11	13	13	14	18	12	18	12	17	15	15	17
air conditioning surrey hills		8	4	3	3	4	4	4	5	4	4	5	5	4	4	4	4	6	13	10	12	15	13	11	4	4	13	16	18	16	12	11	12	11	12	9	10	9	11
air conditioning templestowe		1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	4	6	4	5	9	7	4	3	2	1	1	2	2	2	1	1	2	1	1	1	1	1
air conditioning toorak		11	5	7	10	8	4	2	4	3	3	6	6	5	5	2	1	2	5	5	9	8	7	10	4	3	3	5	19	17	18	22	19	15	18	19	21	13	21
air conditioning warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	-	22	19	9	8	8	11	18	15	16	-	16	15	17	19	20	12	16
air conditioning heidelberg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	59	-	31	-	16	13	14	11	15	16	16	15	18	28	27	21	33	36
