		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-03-30	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-09	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-09	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-05-29	2024-06-13	2024-07-17	2024-08-16	2024-09-20	2024-10-18	2024-11-14
restumping balwyn		7	9	6	6	5	5	5	5	7	5	5	4	5	3	3	3	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	6	6
restumping beaumaris		7	6	6	6	6	5	6	7	7	7	5	5	5	6	5	5	5	5	6	6	7	6	6	5	4	5	4	4	3	3	3	4	5	8	6	7	6	6	4
restumping blackburn		8	8	7	7	6	4	4	6	3	3	4	4	3	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
restumping brighton		7	6	6	6	5	5	5	5	5	5	3	6	5	4	4	4	4	4	5	5	5	6	6	6	6	5	6	5	6	6	6	6	6	4	3	3	3	5	5
restumping camberwell		7	7	4	5	4	5	5	5	3	4	3	3	2	2	2	3	2	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	1
restumping canterbury		4	4	5	5	4	3	2	3	3	4	2	4	3	2	2	2	3	3	3	3	3	2	2	2	2	1	1	2	2	2	2	2	2	2	1	4	1	2	2
restumping croydon		14	11	10	9	7	6	6	7	6	6	6	5	3	6	5	3	3	3	3	3	3	3	3	4	5	4	3	4	4	3	2	2	2	2	2	2	2	3	3
restumping glen iris		5	5	4	5	4	4	4	4	4	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
restumping glen waverley		8	9	8	9	8	6	3	4	4	5	5	3	3	3	3	3	3	3	3	3	3	2	2	2	2	3	2	5	4	4	4	3	3	6	5	7	6	5	2
restumping hampton		3	3	4	4	3	4	3	3	3	3	3	4	3	4	2	2	2	5	6	4	4	4	4	3	4	4	4	4	3	4	4	2	3	3	5	5	7	2	5
restumping hawthorn		7	6	6	6	5	6	5	6	6	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	4	3	3	3	3	5	5	4	6	6	4	5	4	5
restumping ivanhoe		6	6	6	6	5	5	4	5	5	6	5	4	4	6	6	6	6	6	6	6	5	5	4	4	5	4	5	5	4	5	5	3	4	6	7	2	3	3	3
restumping kew		7	6	6	6	3	4	4	5	2	2	3	4	4	3	3	2	2	5	5	5	6	6	5	5	6	7	4	6	6	6	5	5	5	5	3	6	6	6	3
restumping malvern		8	6	4	4	4	4	4	3	4	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
restumping sandringham		4	6	6	5	5	5	5	4	3	5	5	5	4	4	3	4	4	3	1	3	3	3	4	4	4	3	3	3	3	4	5	2	2	4	4	6	5	1	1
underpinning balwyn		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning beaumaris		26	1	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning blackburn		1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1
underpinning brighton		1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1
underpinning camberwell		1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning canterbury		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
underpinning croydon		2	2	3	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning glen iris		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning glen waverley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning hampton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
underpinning hawthorn		2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning ivanhoe		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
underpinning kew		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning malvern		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning sandringham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cost of underpinning a house		13	13	49	21	11	11	10	12	12	21	29	28	27	29	30	19	32	-	39	37	-	30	31	28	23	13	14	12	13	11	12	13	12	11	9	11	17	12	21
restumping melbourne		12	14	12	13	13	14	14	15	16	15	17	15	16	14	17	13	12	13	14	14	16	14	12	12	10	5	6	5	3	3	3	3	3	3	3	3	2	5	3
cost restumping house melbourne		22	16	32	17	17	15	12	12	12	13	13	14	16	13	13	12	12	12	15	14	15	15	16	17	16	19	19	17	16	19	15	19	19	19	18	48	16	17	19
foundation repair melbourne		9	9	8	9	9	8	6	9	9	8	6	6	7	7	5	4	4	4	4	4	4	4	4	5	3	3	3	3	3	3	3	3	3	2	2	3	3	3	2
house levelling melbourne		10	11	10	9	10	10	9	8	9	6	4	2	3	2	2	3	3	3	4	4	2	2	2	2	5	4	7	4	2	2	2	2	2	1	2	1	1	2	2
house leveling contractors		1	1	1	1	1	1	1	1	1	1	17	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	2	3	1	1	2	1	2	1	1	1	80	1
house reblocking		24	34	32	27	27	21	18	23	28	28	25	33	30	41	33	29	32	35	21	25	25	24	17	14	11	15	11	8	8	9	10	21	18	-	22	19	7	12	9
house reblocking melbourne		15	18	15	14	13	12	13	18	20	16	15	14	14	14	12	11	12	18	11	13	12	16	11	9	14	11	13	9	8	8	7	8	9	7	9	9	7	5	5
house restumping		59	63	67	31	30	63	33	47	53	45	45	39	48	36	39	25	36	38	27	33	31	19	17	9	8	7	8	6	5	8	7	7	7	7	6	15	6	20	10
house restumping melbourne		13	15	13	12	13	11	13	14	15	15	15	13	14	13	13	10	12	12	12	12	11	12	9	8	8	6	8	8	6	4	6	7	5	4	4	6	5	4	4
house underpinning melbourne		3	5	2	2	1	1	1	1	2	1	2	2	2	3	1	1	1	3	4	2	4	3	6	3	6	2	3	2	2	4	3	4	4	7	2	2	3	1	1
restumping		20	20	11	11	10	11	8	7	9	11	12	11	18	16	16	16	11	4	3	11	9	11	13	8	6	6	7	6	8	9	6	8	6	8	5	7	5	6	23
restumping costs melbourne		22	19	18	20	22	17	14	17	14	15	14	16	17	13	13	12	12	12	13	15	15	17	17	20	19	21	19	25	23	21	19	18	21	19	20	23	21	20	19
sinking foundation repair		9	11	13	12	12	9	8	8	6	6	4	5	4	5	5	5	3	3	2	2	2	2	3	3	3	3	3	4	4	4	4	4	3	3	1	1	1	1	1
slab underpinning		10	8	15	12	8	8	8	8	8	8	7	7	7	9	12	11	11	9	8	15	9	11	16	9	14	12	9	22	5	7	4	4	5	4	2	1	1	9	9
steel house stumps		16	12	10	5	6	6	7	8	12	12	13	7	15	15	13	13	5	16	12	12	16	15	14	14	19	21	20	21	23	16	14	22	22	21	43	26	28	30	24
underpinning a house		16	11	11	12	11	8	6	12	19	30	22	23	20	24	13	13	22	22	12	11	27	23	24	20	24	-	45	41	7	6	6	22	15	17	9	9	51	40	32
underpinning contractors		1	1	1	1	1	1	1	3	1	2	3	1	2	1	1	7	9	10	9	10	1	8	8	5	7	1	3	1	2	1	5	2	4	4	2	1	3	5	4
underpinning costs melbourne		13	14	21	20	18	15	12	13	12	15	18	16	16	15	16	17	17	18	18	18	21	16	21	22	18	15	16	16	17	16	16	16	16	15	15	20	16	16	17
underpinning melbourne		2	2	3	2	2	2	2	3	2	2	2	2	3	2	1	1	1	2	3	2	3	1	5	5	3	2	1	1	2	6	2	1	2	4	2	2	4	1	2
restumping box hill		5	5	5	5	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	3	3	3	3	2	2	2	3	4	2	2
restumping mitcham		6	6	6	5	6	6	5	6	4	4	4	4	4	3	4	2	2	3	3	3	3	2	2	1	2	2	1	2	2	2	2	2	3	3	2	1	1	1	1
restumping nunawading		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
restumping ringwood		2	3	3	3	3	3	3	3	2	2	3	3	4	5	5	5	4	4	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
restumping surrey hills		5	5	5	5	5	4	3	3	3	2	3	3	3	4	3	3	3	3	3	2	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1
underpinning kilsyth		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning knoxfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning mill park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning northcote		1	4	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning vermont		1	1	1	1	1	1	1	1	1	1	1	6	5	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
underpinning wantirna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
restumping doncaster		-	-	-	-	-	-	4	4	4	1	1	1	8	10	7	1	1	1	1	4	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
restumping mount waverley		-	-	-	-	-	-	5	5	5	5	6	5	5	4	5	5	6	5	5	4	5	5	5	4	2	2	2	2	2	2	2	3	2	2	2	3	1	2	2
