		2023-07-03	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
custom home builders altona		-	10	6	9	6	7	6	5	5	6	6	5	7	7	7	8	10
custom home builders avondale heights		-	4	8	5	5	4	5	4	4	4	4	1	3	4	6	3	7
custom home builders caroline springs		-	9	9	5	3	4	4	2	2	2	3	2	4	2	3	8	7
custom home builders essendon		-	13	16	16	15	19	18	16	14	14	17	12	17	18	21	26	34
custom home builders hoppers crossing		-	2	9	9	6	6	5	6	2	2	3	3	3	2	3	2	4
custom home builders keilor east		-	4	7	5	6	8	7	7	6	6	5	5	9	9	10	17	14
custom home builders point cook		-	12	7	11	6	6	7	8	3	1	3	5	5	8	7	9	11
custom home builders seabrook		-	4	5	4	5	2	2	2	2	2	3	3	3	3	4	5	6
custom home builders sunshine		-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	92	61
custom home builders tarneit		-	10	10	13	12	15	15	14	8	6	8	7	9	9	13	22	23
custom home builders taylors lakes		-	3	5	4	3	4	3	3	3	2	2	1	2	2	2	6	4
custom home builders truganina		-	13	11	12	14	19	16	16	14	13	13	17	18	26	30	21	37
custom home builders werribee		-	11	7	7	5	4	4	2	2	3	4	7	8	9	6	8	13
custom home builders williamstown		-	-	54	39	46	10	13	11	10	6	8	6	9	8	9	22	18
custom home builders wyndham vale		-	10	11	9	7	6	6	6	5	5	7	5	6	6	7	13	10
home extensions altona		-	16	18	20	11	9	7	5	2	1	1	1	1	2	5	1	1
home extensions avondale heights		-	4	4	5	5	4	3	2	2	2	2	2	2	4	4	5	3
home extensions caroline springs		-	8	5	3	2	2	2	2	2	2	2	2	2	2	2	2	2
home extensions essendon		-	27	19	15	14	13	12	12	13	11	10	13	12	20	19	11	16
home extensions hoppers crossing		-	4	6	6	5	5	5	6	3	3	3	3	3	3	3	3	2
home extensions keilor east		-	4	6	7	7	6	7	6	5	5	5	5	5	5	3	3	3
home extensions point cook		-	7	6	7	3	3	3	4	3	2	3	3	3	4	1	1	1
home extensions seabrook		-	3	4	4	4	5	5	5	1	6	4	2	5	5	6	4	4
home extensions sunshine		-	30	18	20	73	84	97	26	4	5	5	5	18	14	22	26	28
home extensions tarneit		-	4	4	6	5	5	5	5	4	4	3	3	23	3	3	3	3
home extensions taylors lakes		-	4	5	3	2	2	2	2	2	2	2	2	2	4	7	3	3
home extensions truganina		-	6	7	8	7	5	3	2	3	2	2	4	5	6	19	3	3
home extensions werribee		-	7	6	6	4	4	4	3	4	4	4	7	10	7	8	5	11
home extensions williamstown		-	-	-	-	-	11	9	6	8	4	4	4	5	8	9	8	7
home extensions wyndham vale		-	3	3	5	4	2	2	2	2	2	2	1	1	2	2	1	1
