		2023-01-11	2023-02-16	2023-03-16	2023-03-26	2023-04-14	2023-05-17	2023-06-15	2023-06-28	2023-08-09	2023-09-15	2023-09-27	2023-10-20	2023-11-17	2023-12-15	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-15	2024-06-06	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
house restumping melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	18	16	22	14	12	14	10	12
Underpinning Ballarat		15	15	11	11	11	11	11	11	10	10	13	10	11	11	10	11	9	8	10	10	8	7	8	6	6	8
Underpinning Bendigo		8	8	9	7	8	7	7	7	5	5	4	4	4	4	4	4	3	2	2	2	3	2	2	2	1	2
Underpinning Eltham		-	-	53	53	14	5	3	3	1	2	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2
Underpinning Greensborough		-	-	3	3	3	5	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Underpinning Shepparton		-	-	46	45	14	8	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2
Underpinning Wangaratta		-	-	41	46	4	35	4	4	4	5	4	5	4	4	4	5	5	3	3	3	4	4	2	2	1	3
Underpinning Mitcham		-	-	2	2	2	12	4	5	3	2	2	2	2	2	4	2	2	2	3	2	2	2	2	2	2	2
Underpinning Blackburn		-	-	6	6	3	4	5	5	2	2	2	2	2	2	2	1	2	3	4	3	1	1	1	1	3	3
Underpinning Box Hill		-	-	5	8	7	4	5	4	4	3	3	3	3	3	2	3	4	3	3	3	3	3	2	3	3	3
underpinning melbourne		-	-	-	-	-	-	-	13	11	10	10	12	6	7	8	7	7	8	7	7	8	9	11	15	12	16
Underpinning Watsonia		-	8	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
Underpinning Ivanhoe		-	-	2	3	3	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	4
Underpinning Newport		-	92	3	3	3	3	4	4	4	3	4	3	3	3	3	3	3	3	2	2	2	2	3	2	2	2
Underpinning Williamstown		-	-	3	3	3	2	3	2	3	3	2	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1
