		2022-11-16	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-03-20	2023-04-03	2023-04-14	2023-05-17	2023-05-26	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-11	2023-10-30	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-01	2024-05-31	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
security cameras melbourne		-	92	44	37	17	15	18	26	47	41	88	63	-	65	28	27	15	21	45	33	21	24	19	16	18	13	16	13	12	9
security systems melbourne		12	12	15	11	11	10	10	13	12	14	14	13	12	10	7	9	7	5	8	9	6	6	5	5	6	9	9	8	7	7
cctv cameras melbourne		-	-	62	54	18	17	17	34	42	65	77	-	59	50	47	58	20	25	22	26	16	49	-	35	39	33	33	23	29	33
hikvision security systems		47	17	20	33	22	14	10	14	19	23	32	14	37	20	22	21	16	18	21	21	28	22	24	16	23	18	21	25	21	12
dahua security cameras melbourne		23	18	19	16	14	14	13	13	17	21	17	13	14	12	9	10	9	11	11	9	10	9	8	9	9	7	8	10	8	5
hilook security cameras		-	-	24	26	37	30	34	35	32	33	35	26	22	17	16	15	22	25	20	24	26	19	21	12	12	15	12	11	10	12
security alarms melbourne		11	10	12	11	10	10	10	10	11	12	12	14	10	9	8	9	8	6	9	8	6	6	5	7	7	8	2	4	5	6
bosch security systems melbourne		6	6	10	5	7	7	5	11	4	4	10	5	8	2	5	5	5	4	4	3	3	3	3	3	3	3	3	1	1	2
security alarm installation melbourne		20	19	16	9	10	9	11	19	13	18	18	13	12	6	9	8	7	6	8	8	6	4	4	6	6	6	6	2	3	1
cctv berwick		-	-	17	16	15	15	14	14	11	15	15	-	12	8	9	8	8	10	8	6	5	5	5	4	3	3	1	1	1	2
cctv cheltenham		-	-	7	5	4	5	3	3	3	4	5	5	5	3	3	9	2	2	2	2	1	2	2	6	10	4	5	6	62	4
cctv clayton		-	-	-	12	11	-	-	-	-	93	-	9	10	9	10	9	12	9	6	7	9	10	10	13	11	10	4	7	8	7
cctv cranbourne		64	63	14	16	73	80	14	13	-	-	-	14	13	13	13	11	12	9	11	12	12	8	8	8	9	9	11	11	12	12
cctv dandenong		27	28	23	33	20	20	21	34	34	34	36	24	13	12	14	10	12	8	9	7	8	5	6	9	9	8	7	7	8	9
cctv ferntree gully		-	-	11	8	8	9	9	10	9	12	10	8	8	8	8	7	7	6	4	4	4	4	4	5	6	5	2	2	3	3
cctv frankston		42	-	33	42	27	27	28	30	24	38	37	39	27	25	27	28	17	21	21	22	46	39	-	42	42	40	38	46	44	54
cctv glen waverley		-	-	9	8	-	88	-	-	-	11	11	14	13	8	9	12	10	8	8	10	9	11	12	13	12	11	7	4	5	5
cctv hampton park		-	-	12	11	60	54	80	9	9	9	8	8	11	11	7	8	8	5	4	4	9	6	6	3	6	8	9	6	6	7
cctv keysborough		6	5	5	5	5	7	8	6	5	5	8	6	3	3	4	1	1	3	1	1	2	1	2	2	2	2	1	1	1	2
cctv pakenham		15	18	21	18	12	12	14	11	11	12	12	15	12	12	16	16	17	17	14	17	14	16	16	15	13	13	14	15	13	7
cctv springvale		-	-	11	8	8	8	8	8	7	8	8	8	6	7	7	4	7	6	5	5	6	7	7	17	10	12	10	10	9	11
security alarms berwick		9	9	7	8	8	9	9	8	9	9	5	7	6	5	5	5	5	3	4	4	2	3	3	3	3	2	2	1	1	2
security alarms cheltenham		-	-	3	2	2	4	3	3	57	51	3	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
security alarms clayton		-	67	5	5	5	5	6	50	5	5	5	6	5	5	5	6	5	4	4	3	4	4	3	3	3	3	2	1	1	4
security alarms cranbourne		33	32	7	7	7	28	50	60	30	8	7	9	10	7	9	8	7	6	7	7	8	7	5	8	8	9	7	5	3	4
security alarms dandenong		3	4	4	4	4	4	5	6	6	8	8	5	5	6	2	1	2	2	1	1	1	2	2	2	2	2	1	3	3	2
security alarms ferntree gully		84	72	6	2	4	4	3	5	5	6	6	7	2	2	2	2	2	3	3	3	2	1	1	3	3	1	1	1	1	1
security alarms frankston		9	10	10	9	11	-	6	6	10	8	7	8	8	4	4	3	6	6	6	6	6	5	6	6	5	5	5	5	5	6
security alarms glen waverley		-	-	6	6	6	6	6	7	6	5	4	6	5	3	4	4	3	3	3	3	2	2	2	2	2	2	2	1	2	3
security alarms hampton park		-	-	3	49	3	3	4	4	5	4	4	4	4	2	1	1	1	1	2	2	2	2	2	2	1	2	3	1	1	3
security alarms keysborough		6	6	4	4	4	4	4	4	3	3	3	2	1	1	2	2	2	3	1	2	1	1	1	1	1	1	2	1	2	3
security alarms pakenham		4	4	5	6	6	6	5	5	5	4	4	6	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2
security alarms springvale		41	48	5	4	4	4	4	4	3	3	3	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	1	2
security systems berwick		10	9	8	8	8	8	7	7	7	7	5	12	6	3	5	4	4	5	4	3	2	2	2	2	3	1	2	1	1	1
security systems cheltenham		-	-	4	3	3	3	4	3	4	3	2	3	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	33	1	2
security systems clayton		-	-	-	7	7	64	-	59	-	37	35	8	9	5	5	7	4	3	2	3	3	3	3	3	3	2	2	1	1	2
security systems cranbourne		41	37	8	8	6	28	9	8	36	36	34	10	8	10	7	7	8	7	9	9	9	13	5	5	5	6	9	4	6	3
security systems dandenong		6	4	11	9	7	6	8	12	8	11	8	10	3	2	1	1	1	1	2	1	2	2	2	2	3	3	4	3	4	2
security systems ferntree gully		-	-	7	3	3	4	3	4	8	8	8	7	5	3	2	3	2	2	1	3	2	2	2	4	4	1	2	1	1	1
