		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-04	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
permeable concrete		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1
permeable driveway		7	6	6	6	9	6	7	8	8	6	9	12	8	8	5	3	4	5	9	8	7	10	8	6	7	8	5	3	5	4	7	4	8	2	1	1	-	1
permeable driveway systems		1	1	1	1	1	2	2	2	2	2	3	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	2	1	2	2	3
permeable paving melbourne		4	3	4	4	5	6	6	6	4	6	5	4	6	5	6	5	3	4	5	4	6	1	3	2	3	3	3	1	1	1	1	3	4	4	2	2	2	2
permeable tarmac		6	6	5	5	5	5	6	7	42	73	50	59	75	49	48	53	59	50	42	46	37	21	21	53	41	51	-	-	-	43	74	39	-	57	30	27	11	13
pervious concrete driveway		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	1	1	2
pervious paving materials		9	8	10	12	7	13	13	12	5	6	6	7	5	10	8	6	27	13	19	19	21	12	12	19	18	10	16	11	7	7	15	6	4	10	5	11	42	7
porous concrete		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	2	2	3	2
water permeable concrete		1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2
water permeable driveways		6	7	3	2	2	8	8	6	7	52	8	8	11	9	4	1	1	2	2	1	2	2	2	2	2	4	5	4	2	1	2	2	1	1	1	1	1	1
permeable paving shepparton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving traralgon		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving bendigo		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving mornington peninsula		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	44	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	18	19	6	1	1	1	1	1	1	1	1	1	1	1	16	16	22	1
permeable paving newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	10	3	2	2	3	1	1	1	1	1	1	21	17	14	31	4	15	1
permeable paving parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	-	65	1
permeable paving port macquarie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving canberra		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	17	4	5	3	5	4	3	2	3	1	1	1	1	1	1	1	1	2
permeable paving northern territory		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	17	10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	20	9	5	6	4	3	4	4	3	3	4	1	2	2	3	2	2	2
permeable paving brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	19	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1
permeable paving perth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	19	6	5	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1
permeable paving tasmania		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	17	10	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
