		2023-11-16	2023-12-14	2024-01-19	2024-02-06	2024-02-14	2024-02-27	2024-02-29	2024-03-04	2024-04-19	2024-05-16	2024-05-30	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-09	2024-11-14
gym altona		3	6	3	1	2	3	3	3	2	2	2	2	2	2	3	3	3
gym braybrook		-	-	-	13	-	-	35	11	11	8	5	3	3	3	9	7	8
gym brooklyn		-	-	-	10	-	-	-	6	7	4	7	4	2	4	6	6	10
gym flemington		-	-	-	6	-	55	50	25	5	4	3	4	4	3	5	6	4
gym footscray		-	-	-	14	-	15	12	13	16	15	19	12	28	12	21	25	12
gym hoppers crossing		-	-	-	-	-	12	12	13	17	18	15	16	14	14	13	14	14
gym kensington		-	-	-	13	-	-	-	10	12	13	6	8	10	6	4	6	10
gym kingsville		-	-	-	5	-	9	7	7	3	3	2	2	2	2	2	2	4
gym laverton		-	-	-	8	-	38	7	6	7	6	5	5	6	4	2	2	3
gym maribyrnong		-	-	-	12	-	-	81	-	8	8	7	7	8	8	7	9	8
gym newport		-	-	-	11	-	-	-	53	43	11	56	10	14	12	7	22	11
gym seabrook		-	-	-	4	-	6	6	3	4	2	2	2	2	3	3	2	3
gym seaholme		-	-	6	2	2	2	2	2	2	2	2	1	1	1	1	1	1
gym seddon		-	-	-	6	-	21	5	5	4	5	5	5	5	4	5	5	5
gym sunshine		-	-	-	17	15	-	-	17	17	16	35	15	34	44	47	44	41
gym tarneit		-	-	-	79	-	10	10	10	7	7	9	10	7	5	5	6	6
gym truganina		-	-	-	64	-	46	53	51	12	10	6	7	7	5	5	5	7
gym williams landing		-	-	-	65	-	5	5	5	2	2	2	2	2	2	2	2	2
gym williamstown		-	-	-	19	-	-	80	20	18	11	11	10	10	3	4	9	8
gym yarraville		-	-	-	86	-	84	48	11	14	10	10	10	10	10	8	10	11
