		2022-08-29	2022-09-16	2022-10-13	2022-11-15	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-31	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-10	2024-05-10	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
ski ropes		57	26	8	6	7	7	5	6	8	8	10	10	11	9	11	12	14	14	15	17	19	25	36	16	14	12	27	14	15
boating ropes		32	6	7	7	4	8	9	11	9	10	10	8	12	10	13	13	17	20	19	13	17	21	16	16	18	16	47	13	19
marine ropes		13	7	8	10	8	7	7	5	5	6	7	6	7	8	6	5	4	9	8	8	18	14	17	15	32	29	14	8	13
yachting ropes		38	9	9	8	8	9	8	11	12	11	10	14	4	6	4	5	15	12	14	18	16	18	14	16	21	10	13	19	26
spectra ropes		-	14	55	14	2	2	2	2	2	2	1	2	1	2	3	3	5	4	4	2	3	3	3	3	4	6	4	5	6
double braid polyester rope		78	43	16	8	6	5	2	4	4	5	4	6	8	17	19	19	17	16	26	22	49	50	32	27	30	28	22	27	21
rope suppliers		3	2	2	1	1	1	2	1	1	1	1	1	2	4	2	2	2	3	3	2	2	3	3	3	2	3	3	16	1
rope suppliers brisbane		7	5	5	5	5	5	4	6	6	6	6	6	6	6	6	2	8	6	6	8	10	12	11	8	7	5	8	7	8
rope suppliers melbourne		2	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
dinghy braids		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	26	25	14	11	13	9
double braid ropes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	45	38	11	13	7
garage door braid		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	3	3	3	3
industrial ropes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	22	24	14	9	9	10
industrial ropes brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	3	3	3	3	4	5
industrial ropes melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1
industrial ropes sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	19	14	10	17	13	14
marine ropes tasmania		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	25	19
marine ropes brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	6	10	7	6	15
marine ropes melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	2	2
rope wholesalers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	1	1	1	1	1
dyneema ropes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cable hauling ropes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	19	20
