		2024-03-29	2024-04-19	2024-05-16	2024-06-13	2024-06-17	2024-07-20	2024-08-23
art therapy bundoora		-	-	-	8	8	7	8
art therapy craigieburn		7	5	3	2	2	2	2
art therapy doreen		2	2	2	2	2	2	2
art therapy eltham		-	-	-	-	18	16	13
art therapy epping		-	-	-	9	9	3	1
art therapy lalor		-	-	31	1	1	2	7
art therapy mernda		4	4	2	2	2	2	2
art therapy mill park		-	-	36	20	21	16	16
art therapy roxburgh park		-	-	1	1	1	1	3
art therapy south morang		5	3	1	1	1	1	1
child psychologist bundoora		-	-	-	17	16	18	10
child psychologist craigieburn		-	-	-	5	5	5	3
child psychologist doreen		-	66	68	35	8	8	7
child psychologist eltham		-	-	-	42	44	12	11
child psychologist epping		-	-	-	15	14	4	2
child psychologist lalor		-	-	-	13	12	1	1
child psychologist mernda		-	-	-	8	8	9	3
child psychologist mill park		-	-	-	4	4	2	1
child psychologist roxburgh park		-	-	16	7	7	4	2
child psychologist south morang		-	-	-	10	9	6	5
play therapy bundoora		-	-	-	1	1	2	1
play therapy craigieburn		-	-	4	2	2	1	1
play therapy doreen		2	2	2	3	3	4	4
play therapy eltham		-	-	35	18	19	5	2
play therapy epping		-	-	5	8	9	2	2
play therapy lalor		-	-	2	2	2	2	2
play therapy mernda		6	6	2	1	1	2	1
play therapy mill park		-	-	5	5	4	2	2
play therapy roxburgh park		-	-	1	1	1	1	1
play therapy south morang		-	-	1	10	9	6	8
