		2023-12-08	2024-01-19	2024-02-15	2024-03-15	2024-03-24	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-15	2024-10-29	2024-11-14
roofing bayswater		-	-	-	14	9	9	7	9	68	24	22	26	28	25
roofing beaconsfield		6	10	11	13	11	12	4	4	9	8	11	7	12	11
roofing bentleigh		-	-	-	12	11	9	6	6	7	6	4	16	10	12
roofing berwick		11	9	10	12	13	12	11	6	7	15	5	6	5	9
roofing brighton		-	8	8	14	8	10	5	2	2	4	8	18	11	15
roofing carrum downs		-	-	-	10	11	9	9	8	12	11	14	11	12	15
roofing caulfield		50	14	13	11	12	10	10	7	11	11	14	12	12	12
roofing chelsea		-	-	-	9	11	10	8	10	8	6	6	7	9	9
roofing cheltenham		2	1	-	1	4	4	3	12	12	15	17	19	16	21
roofing cranbourne		25	23	24	25	21	20	15	15	18	8	10	13	9	11
roofing croydon		-	-	-	8	9	9	6	8	7	12	26	24	36	30
roofing dandenong		17	17	16	15	13	14	17	18	21	20	21	32	18	16
roofing doncaster		-	-	-	9	10	8	7	4	4	5	5	7	8	10
roofing frankston		-	-	-	25	28	21	17	12	19	28	29	28	20	24
roofing hallam		-	-	-	32	9	4	5	3	6	5	10	12	7	10
roofing hampton		31	34	35	23	1	2	1	1	1	1	2	3	12	15
roofing lysterfield		97	-	-	3	4	5	1	1	2	2	3	3	4	3
roofing mornington		9	11	13	12	11	13	16	43	46	42	43	51	26	31
roofing mount martha		-	-	-	21	10	8	7	7	8	3	5	5	11	11
roofing narre warren		9	11	9	16	15	20	15	16	25	18	20	13	20	19
roofing officer		10	8	12	9	9	10	5	3	6	3	5	7	8	7
roofing pakenham		2	2	2	5	4	3	4	4	13	13	13	12	16	16
roofing ringwood		-	-	-	12	11	7	7	5	6	8	4	4	5	6
roofing sandringham		-	-	-	36	8	6	5	4	5	4	7	10	8	8
roofing seaford		4	5	6	7	8	6	7	5	7	8	13	15	13	13
roofing st kilda		-	-	-	10	10	12	9	7	9	10	14	16	17	17
roofing toorak		-	-	-	30	9	7	4	9	10	7	7	8	12	12
roofing windsor		-	-	-	6	6	6	5	4	9	8	8	8	4	5
roof repairs bayswater		-	-	-	16	17	26	9	8	14	11	17	17	18	16
roof repairs beaconsfield		8	10	13	13	12	12	8	6	8	8	10	11	13	12
roof repairs bentleigh		-	-	-	17	17	16	9	15	16	16	14	12	19	16
roof repairs berwick		12	12	12	14	16	13	13	10	10	9	7	7	6	6
roof repairs brighton		-	10	8	14	9	1	8	8	6	9	14	17	16	17
roof repairs carrum downs		-	-	-	12	10	10	8	10	13	11	13	15	15	13
roof repairs caulfield		7	8	8	8	8	19	15	16	19	11	10	10	13	11
roof repairs chelsea		-	-	-	26	11	12	4	4	4	5	6	8	11	10
roof repairs cheltenham		1	1	-	1	3	3	4	17	20	17	17	16	12	24
roof repairs cranbourne		21	20	23	23	19	20	13	17	27	14	15	16	10	13
roof repairs croydon		-	-	-	15	16	11	12	12	15	23	16	14	16	16
roof repairs dandenong		20	20	19	18	16	15	13	15	19	17	30	16	19	14
roof repairs doncaster		-	-	-	19	22	16	11	8	14	10	9	13	10	8
roof repairs frankston		-	-	-	28	29	25	17	16	21	55	32	24	22	17
roof repairs hallam		-	-	-	43	6	6	5	7	8	6	10	7	7	7
roof repairs hampton		33	22	25	16	12	4	7	3	11	4	9	13	12	15
roof repairs lysterfield		-	-	-	4	6	1	1	1	5	5	6	6	7	7
roof repairs mornington		7	7	9	7	13	9	10	16	17	15	15	19	18	15
roof repairs mount martha		-	-	-	28	12	1	9	9	10	7	5	8	14	10
roof repairs narre warren		7	7	7	10	9	29	19	21	31	21	22	24	19	18
roof repairs officer		8	6	5	6	5	5	5	5	5	4	3	5	7	5
roof repairs pakenham		3	3	2	5	5	5	4	8	13	13	7	11	10	9
roof repairs ringwood		-	-	-	16	11	9	7	8	11	10	11	5	4	7
roof repairs sandringham		-	-	-	27	13	13	6	5	12	9	15	12	11	13
roof repairs seaford		4	4	4	8	9	6	8	12	9	12	16	15	16	15
roof repairs st kilda		-	-	-	11	13	8	4	9	12	10	16	11	19	12
roof repairs toorak		-	-	-	43	14	13	8	8	15	14	14	11	15	9
roof repairs windsor		-	-	-	5	6	4	2	3	9	7	6	7	5	7
roof restoration bayswater		-	-	-	14	23	14	11	9	15	10	14	10	16	13
roof restoration beaconsfield		9	14	13	17	16	15	10	9	11	9	12	10	15	11
roof restoration bentleigh		-	-	-	15	14	12	7	10	13	8	10	7	12	9
roof restoration berwick		11	11	11	13	12	11	11	9	9	6	6	6	6	5
roof restoration brighton		-	-	-	6	2	2	2	3	3	4	9	13	13	10
