		2021-11-19	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-14	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-04	2023-06-14	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
biotech laboratories		11	10	14	12	32	12	11	10	7	4	4	3	7	6	10	7	7	8	8	8	11	8	14	12	11	12	17	21	10	16	15	13	11	-	17	13	11
dry lab		18	25	37	87	28	31	25	88	20	10	10	10	11	13	15	14	13	15	23	16	13	12	10	9	9	10	11	11	4	10	12	13	13	20	9	11	-
iso clean rooms		30	36	52	56	45	44	57	43	37	31	34	33	28	25	37	40	32	29	28	19	19	34	45	51	23	76	31	30	27	23	-	-	-	69	-	66	-
lab rental		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
lab space for rent		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laboratories in brisbane		15	10	28	27	24	22	20	15	7	7	9	8	7	8	7	10	7	7	7	8	8	9	13	12	11	12	15	16	14	14	19	16	17	-	21	24	-
laboratories in melbourne		12	11	14	7	5	5	14	12	6	8	6	10	9	8	7	9	8	12	9	10	10	9	13	11	11	12	18	17	13	24	21	15	19	17	18	21	-
pharmaceutical labs		76	75	-	24	20	35	31	47	12	19	12	12	10	8	12	7	9	10	8	8	3	3	4	3	5	2	9	8	9	9	27	27	24	44	38	62	23
laboratory for rent melbourne		1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
laboratory rental		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laboratory rental space		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laboratory space for rent		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laboratory space for rent sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
labs for rent		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pc2 laboratory		28	22	23	17	17	18	20	18	18	13	22	22	20	18	18	17	20	15	16	27	25	28	28	26	22	23	28	28	23	24	22	26	19	24	13	-	10
rent a lab space		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
research labs for lease		1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
wet lab		52	52	42	50	33	26	62	62	27	28	28	20	24	24	20	17	17	23	43	50	30	31	33	27	20	15	19	23	18	18	32	22	22	27	21	22	28
wet lab space for rent		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
working laboratory		6	7	7	12	7	10	9	10	8	8	7	8	7	7	1	4	5	5	3	15	38	40	35	8	7	9	7	7	6	-	8	7	6	5	6	3	4
environmental labs		12	11	12	16	9	13	10	5	11	11	12	11	12	11	12	7	9	9	6	7	12	9	11	14	9	10	10	14	11	12	19	-	18	23	22	17	16
