		2023-07-19	2023-08-19	2023-09-15	2023-10-20	2023-11-07	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-03-26	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-16	2024-10-02	2024-10-03	2024-10-07	2024-11-14
electrician abbotsford		-	-	-	25	23	25	29	26	22	27	31	23	15	16	22	-	-	-	-	32
electrician albert park		-	-	-	19	20	22	22	19	18	18	19	18	15	20	23	22	27	26	27	28
electrician ascot vale		-	-	25	21	24	22	26	25	14	13	13	12	13	16	15	16	24	27	24	25
electrician brighton		-	-	55	59	65	55	65	66	66	55	57	60	55	55	65	80	92	88	75	48
electrician broadmeadows		-	68	69	23	15	16	15	17	11	12	16	16	16	16	8	12	20	19	21	17
electrician brunswick		-	-	-	45	37	59	51	59	-	28	-	33	17	19	54	31	38	38	37	28
electrician bundoora		-	-	-	29	25	27	28	30	25	25	20	25	25	23	11	15	19	24	23	14
electrician campbellfield		-	-	-	39	33	17	18	20	13	14	17	22	13	14	17	24	27	28	28	31
electrician carlton		-	-	-	35	29	34	35	41	30	33	31	37	31	30	28	28	40	40	43	38
electrician coburg		-	-	-	33	33	26	21	26	18	20	-	19	16	17	31	46	55	59	53	44
electrician collingwood		-	-	-	28	19	25	24	28	24	24	24	25	21	21	27	52	59	57	38	25
electrician docklands		-	-	72	16	13	15	16	13	7	10	10	12	6	5	6	7	10	9	20	14
electrician elwood		-	-	62	24	23	30	31	32	21	20	21	20	19	22	19	26	29	29	30	28
electrician essendon		-	-	51	36	38	38	39	44	37	30	31	40	36	40	43	44	48	51	55	55
electrician fawkner		-	64	58	14	11	11	10	12	11	10	9	9	7	6	8	7	14	13	12	8
electrician fitzroy		-	-	35	32	28	26	21	24	11	11	10	10	13	10	11	16	22	31	25	19
electrician glenroy		-	66	-	24	22	20	23	26	18	17	19	20	13	12	18	23	28	31	27	26
electrician hawthorn		-	-	-	52	45	57	63	64	42	36	35	40	-	42	51	69	75	76	66	45
electrician heidelberg		-	-	-	37	35	35	34	35	30	26	24	25	24	30	30	29	34	34	38	33
electrician keilor		-	-	-	-	26	26	31	34	-	20	20	24	20	22	22	31	70	55	54	39
electrician kensington		-	-	-	36	22	40	51	53	47	35	45	50	52	35	26	60	63	63	75	45
electrician moonee ponds		-	-	-	24	23	22	26	29	22	21	21	22	20	19	22	27	29	29	27	20
electrician north melbourne		-	-	-	34	-	28	28	27	26	23	24	24	-	20	23	34	35	35	33	33
electrician pascoe vale		-	-	-	36	-	30	29	32	66	23	23	27	24	20	19	28	36	36	38	31
electrician port melbourne		-	-	-	36	31	29	29	31	21	-	11	14	19	24	23	34	41	39	39	33
electrician preston		-	-	-	-	-	45	41	43	35	32	34	37	49	49	43	54	51	51	53	76
electrician reservoir		-	-	37	35	32	26	31	32	26	27	27	29	15	12	13	41	48	48	42	38
electrician richmond		-	-	-	49	43	61	67	74	58	35	34	58	42	16	14	39	50	51	51	25
electrician south melbourne		-	-	-	29	28	31	36	36	13	15	13	16	16	15	19	17	35	36	37	19
electrician southbank		-	64	63	19	16	11	12	15	11	11	11	14	10	11	11	16	19	23	23	18
electrician st kilda		-	-	-	43	39	39	61	59	37	-	29	35	38	23	40	37	43	41	45	43
electrician strathmore		-	64	55	52	42	13	15	16	13	14	16	15	15	14	14	17	24	25	26	33
electrician thomastown		-	-	46	32	32	30	29	29	20	20	19	22	16	13	20	22	26	26	27	23
electrician thornbury		-	-	37	32	33	33	26	29	24	25	24	27	16	42	40	38	44	44	38	29
electrician tullamarine		-	74	-	64	59	23	24	27	22	22	21	24	19	19	92	28	24	26	25	17
emergency electrician abbotsford		-	36	66	6	5	7	7	12	1	7	7	8	12	9	56	47	20	17	59	24
emergency electrician albert park		-	28	25	8	5	8	10	12	7	9	6	8	9	10	14	17	20	21	21	14
emergency electrician ascot vale		-	26	21	17	13	17	17	17	5	1	4	5	1	5	6	8	15	14	11	8
emergency electrician brighton		-	-	31	16	12	16	17	19	11	10	9	10	13	14	11	21	24	23	21	13
emergency electrician broadmeadows		-	17	13	6	4	5	7	6	4	5	5	7	7	7	4	1	13	9	12	8
emergency electrician brunswick		-	-	59	14	14	14	14	14	5	5	5	4	7	7	8	12	21	21	21	14
emergency electrician bundoora		-	27	24	10	8	16	14	15	8	8	7	10	13	10	5	5	5	5	5	4
emergency electrician campbellfield		-	61	40	9	7	8	9	9	3	4	1	6	8	10	8	13	19	19	17	18
emergency electrician carlton		-	33	29	13	12	19	15	14	11	10	10	12	13	11	21	16	25	30	29	17
emergency electrician coburg		-	46	48	14	8	11	9	9	4	4	6	6	10	8	12	15	22	26	26	19
emergency electrician collingwood		-	29	29	11	10	7	10	9	6	8	7	6	6	8	11	13	22	22	20	14
emergency electrician docklands		-	27	-	5	3	5	7	6	2	2	3	4	5	3	3	4	6	6	38	4
emergency electrician elwood		-	28	21	13	12	12	16	14	8	7	7	9	6	7	12	11	19	19	19	13
emergency electrician essendon		-	30	22	15	15	14	14	15	13	8	15	14	24	13	22	27	34	34	38	27
emergency electrician fawkner		-	18	11	7	7	8	7	8	4	6	4	6	4	4	4	5	12	14	7	9
emergency electrician fitzroy		-	-	20	10	6	10	8	8	4	4	4	5	6	5	6	6	11	19	20	5
emergency electrician glenroy		-	21	16	7	7	12	14	13	5	5	1	4	1	5	9	14	18	16	18	14
emergency electrician hawthorn		-	-	70	15	10	14	18	13	8	7	8	7	13	14	12	16	26	31	30	19
emergency electrician heidelberg		-	29	31	9	4	11	10	12	7	6	9	9	11	10	11	11	20	17	17	17
emergency electrician keilor		-	20	14	11	39	10	11	14	9	8	8	11	14	15	51	16	22	22	22	18
emergency electrician kensington		-	-	-	14	11	13	17	17	12	13	12	13	12	12	14	18	21	20	29	20
emergency electrician moonee ponds		-	26	23	10	7	13	13	13	11	9	8	8	9	8	13	16	20	25	17	11
emergency electrician north melbourne		-	-	-	12	9	15	12	14	7	7	7	5	9	5	8	12	22	27	22	22
